,Class,B,G,R,H,S,V,L,A,B
0,3,177,130,129,119,69,177,143,138,103
1,3,173,133,132,119,60,173,145,136,107
2,0,134,138,136,45,7,138,146,127,130
3,0,153,157,158,24,8,158,165,128,130
4,1,139,146,167,8,43,167,159,135,135
5,0,143,148,148,30,9,148,156,127,131
6,3,171,140,141,121,46,171,151,135,112
7,0,138,144,143,35,11,144,152,126,131
8,0,132,139,137,39,13,139,147,126,131
9,3,180,148,150,122,45,180,159,136,112
10,3,180,148,149,121,45,180,159,135,112
11,3,198,126,127,120,93,198,142,146,91
12,3,206,115,114,120,114,206,133,151,81
13,3,193,135,136,121,77,193,149,142,98
14,0,131,137,136,35,11,137,145,127,131
15,3,211,116,114,119,117,211,135,152,79
16,0,131,133,131,60,4,133,141,127,129
17,1,109,121,181,5,101,181,145,150,144
18,0,125,126,125,60,2,126,135,127,128
19,3,229,115,114,120,128,229,137,158,70
20,3,227,124,123,120,117,227,144,154,75
21,3,233,111,112,120,134,233,134,161,66
22,1,131,140,196,4,85,196,162,148,141
23,0,140,145,147,21,12,147,154,128,131
24,3,226,134,138,121,104,226,153,151,82
25,0,144,150,151,26,12,151,158,127,131
26,1,149,158,199,5,64,199,175,142,139
27,2,147,199,151,58,67,199,193,102,149
28,0,129,132,133,23,8,133,141,128,130
29,3,206,132,134,121,92,206,148,146,90
30,0,126,124,128,165,8,128,134,130,127
31,1,77,87,157,4,130,157,115,156,147
32,2,111,160,111,60,78,160,157,102,148
33,0,116,115,114,105,4,116,124,128,127
34,3,212,107,109,121,126,212,128,156,74
35,3,172,131,130,119,62,172,143,137,106
36,0,145,151,150,35,10,151,159,127,131
37,1,138,146,164,9,40,164,158,133,135
38,0,124,125,125,30,2,125,134,128,128
39,2,150,183,154,56,46,183,183,112,142
40,0,156,157,158,15,3,158,165,128,129
41,3,229,109,110,120,134,229,132,161,67
42,3,188,160,161,121,38,188,170,134,114
43,0,163,166,168,18,8,168,174,128,130
44,0,119,121,120,45,4,121,129,127,129
45,2,123,200,131,57,98,200,190,91,160
46,2,157,184,176,39,37,184,188,120,141
47,3,172,173,174,15,3,174,181,128,129
48,0,163,176,177,28,20,177,183,126,135
49,1,165,175,185,15,28,185,184,130,134
50,3,186,176,177,123,14,186,184,130,123
51,0,170,179,179,30,13,179,186,126,133
52,1,162,172,179,18,24,179,180,129,134
53,2,167,183,173,49,22,183,187,122,135
54,0,165,173,175,24,15,175,180,127,132
55,3,181,176,178,132,7,181,184,130,126
56,0,174,180,181,26,10,181,187,127,131
57,1,171,179,196,10,33,196,189,133,134
58,2,175,201,187,46,33,201,202,119,139
59,0,184,191,195,19,14,195,198,128,132
60,3,210,192,198,130,22,210,201,133,120
61,0,187,194,199,18,15,199,201,129,132
62,1,184,192,211,9,33,211,202,133,134
63,2,193,203,206,23,16,206,208,127,133
64,0,192,199,205,16,16,205,206,129,132
65,3,207,193,200,135,17,207,202,133,122
66,0,185,191,197,15,16,197,198,129,132
67,1,181,189,209,9,34,209,199,134,135
68,2,184,205,197,41,26,205,207,121,137
69,0,182,189,195,16,17,195,196,129,132
70,3,208,184,192,130,29,208,194,135,117
71,0,185,192,197,18,16,197,199,129,132
72,0,176,185,209,8,40,209,196,135,136
73,2,182,207,196,43,31,207,209,120,139
74,3,199,127,131,122,92,199,143,146,91
75,0,183,190,196,16,17,196,197,129,132
76,3,210,188,195,130,27,210,198,135,118
77,0,148,159,163,22,23,163,167,127,134
78,0,185,192,197,18,16,197,199,129,132
79,1,124,138,186,7,85,186,157,144,143
80,0,148,158,162,21,22,162,166,127,134
81,3,210,189,197,131,26,210,199,135,118
82,0,162,170,175,18,19,175,178,128,133
83,1,179,187,213,7,41,213,199,136,135
84,1,143,154,208,5,80,208,174,147,142
85,0,189,196,202,16,16,202,203,129,132
86,0,156,166,171,20,22,171,174,128,134
87,2,188,212,203,41,29,212,214,121,139
88,2,152,204,170,50,65,204,200,107,150
89,0,189,196,202,16,16,202,203,129,132
90,0,152,163,167,22,23,167,171,128,134
91,2,148,203,168,49,69,203,199,106,152
92,2,183,208,198,42,31,208,210,120,139
93,0,186,193,199,16,17,199,200,129,132
94,3,216,188,196,129,33,216,198,136,115
95,3,221,166,175,125,63,221,180,143,101
96,1,138,153,205,7,83,205,173,145,144
97,0,160,169,173,21,19,173,177,128,133
98,2,152,210,171,50,70,210,205,105,153
99,0,154,165,169,22,23,169,173,127,134
100,3,226,165,172,123,69,226,179,143,98
101,1,160,170,209,6,60,209,186,141,139
102,0,135,147,150,24,25,150,155,127,135
103,2,141,206,152,55,80,206,198,98,155
104,3,223,146,152,122,88,223,163,148,90
105,1,130,148,202,8,91,202,168,146,146
106,0,143,157,160,25,27,160,165,126,136
107,2,149,209,164,53,73,209,203,102,153
108,0,145,156,160,22,24,160,164,127,134
109,3,224,153,160,123,81,224,169,146,93
110,1,149,160,207,6,71,207,178,144,140
111,1,177,187,213,8,43,213,199,136,136
112,0,189,197,202,18,16,202,203,128,133
113,2,182,213,198,45,37,213,213,118,142
114,0,158,166,170,20,18,170,174,128,133
115,0,185,192,197,18,16,197,199,129,132
116,2,192,204,202,35,15,204,208,125,134
117,2,180,206,190,48,32,206,207,118,139
118,0,180,186,190,18,13,190,193,128,132
119,3,200,193,199,146,9,200,201,131,125
120,1,173,182,209,7,44,209,194,136,136
121,0,149,157,160,22,18,160,165,127,133
122,3,218,162,170,124,66,218,176,143,101
123,1,132,137,182,3,70,182,156,144,137
124,2,114,200,121,58,110,200,189,87,164
125,0,121,129,129,30,16,129,137,126,132
