,Class,B,G,R,H,S,V,L,A,B
0,3,104,97,92,108,29,104,104,128,123
1,3,106,101,97,107,22,106,109,127,125
2,3,118,112,108,108,22,118,120,128,124
3,3,143,135,130,108,23,143,143,128,123
4,3,107,100,94,106,31,107,107,127,123
5,3,104,99,94,105,25,104,106,127,125
6,3,114,106,98,105,36,114,113,127,123
7,3,134,121,113,109,40,134,129,128,120
8,3,116,112,108,105,18,116,120,127,125
9,3,122,120,119,110,6,122,129,128,127
10,3,131,124,118,106,25,131,132,127,123
11,3,125,106,94,108,63,125,114,128,116
12,3,131,121,112,106,37,131,129,127,121
13,3,120,117,114,105,13,120,125,127,126
14,3,113,111,108,102,11,113,119,127,126
15,3,129,119,113,109,32,129,127,128,122
16,0,27,17,61,173,184,61,32,151,133
17,0,20,15,86,178,211,86,45,160,145
18,1,68,67,33,91,131,68,66,116,124
19,1,77,75,52,92,83,77,77,119,124
20,2,30,21,10,104,170,30,16,126,121
21,2,27,22,17,105,94,27,17,128,124
22,0,24,14,91,176,216,91,47,162,144
23,0,22,16,104,178,216,104,55,166,150
24,1,65,73,33,84,140,73,72,111,128
25,1,75,77,48,88,96,77,78,117,126
26,2,16,12,8,105,128,16,9,126,126
27,2,26,21,17,107,88,26,17,126,124
28,0,20,12,88,177,220,88,45,162,145
29,0,22,16,101,178,215,101,53,165,149
30,1,68,76,41,83,117,76,75,113,129
31,1,65,76,47,79,97,76,76,114,131
32,2,21,16,9,103,146,21,11,128,125
33,2,21,20,18,100,36,21,16,126,127
34,0,19,12,62,176,206,62,29,153,137
35,0,16,13,82,179,215,82,41,160,145
36,1,54,63,31,82,130,63,61,113,130
37,1,68,72,45,86,96,72,72,117,127
38,2,14,11,7,103,128,14,8,126,126
39,2,30,23,15,104,128,30,18,128,122
40,0,29,21,101,177,202,101,55,163,145
41,1,43,63,16,77,190,63,59,107,136
42,1,44,61,20,78,171,61,58,109,135
43,3,146,144,141,102,9,146,152,127,127
44,0,23,18,101,178,210,101,54,165,148
45,1,49,62,17,81,185,62,58,109,131
46,1,42,58,20,77,167,58,54,109,134
47,3,145,144,142,100,5,145,152,127,127
48,0,24,17,82,177,202,82,43,158,141
49,1,30,43,13,77,178,43,38,113,134
50,1,39,48,18,81,159,48,44,115,130
51,3,122,118,114,105,17,122,126,127,125
52,0,17,14,91,179,216,91,47,162,149
53,1,32,47,14,76,179,47,42,112,134
54,1,41,48,19,83,154,48,45,115,129
55,3,125,124,122,100,6,125,132,127,127
56,4,9,9,9,0,0,9,7,128,128
57,4,10,10,10,0,0,10,7,128,128
58,5,10,34,137,6,236,137,78,171,167
59,5,11,33,130,6,233,130,74,168,164
60,4,9,9,9,0,0,9,7,128,128
61,4,11,11,11,0,0,11,8,128,128
62,5,10,46,196,6,242,196,112,185,182
63,5,11,47,197,6,241,197,113,185,181
64,4,10,10,10,0,0,10,7,128,128
65,4,12,11,10,105,43,12,8,128,127
66,5,10,37,152,6,238,152,87,174,171
67,5,11,39,158,6,237,158,90,176,172
68,4,10,9,9,120,26,10,7,128,128
69,4,10,10,10,0,0,10,7,128,128
70,5,10,33,133,6,236,133,76,169,166
71,5,11,34,131,6,234,131,75,168,165
72,3,182,180,177,102,7,182,187,127,127
73,4,1,1,1,0,0,1,1,128,128
74,3,180,180,180,0,0,180,187,128,128
75,4,1,1,1,0,0,1,1,128,128
76,3,167,166,166,120,2,167,174,128,128
77,4,1,1,1,0,0,1,1,128,128
78,3,165,162,159,105,9,165,170,128,126
79,4,2,1,1,120,128,2,1,128,128
80,4,1,1,1,0,0,1,1,128,128
81,4,1,1,1,0,0,1,1,128,128
82,4,1,1,1,0,0,1,1,128,128
83,4,1,1,1,0,0,1,1,128,128
84,4,2,2,2,0,0,2,1,128,128
85,4,2,2,2,0,0,2,1,128,128
86,4,1,1,1,0,0,1,1,128,128
87,4,1,1,1,0,0,1,1,128,128
88,4,1,1,1,0,0,1,1,128,128
89,4,1,1,1,0,0,1,1,128,128
90,1,60,91,16,78,210,91,86,98,140
91,5,1,40,198,6,254,198,111,188,184
92,1,55,78,12,80,216,78,74,102,136
93,5,1,43,209,6,254,209,117,190,187
94,1,47,78,11,76,219,78,73,99,141
95,5,1,42,204,6,254,204,115,189,185
96,1,57,91,14,77,216,91,86,97,141
97,5,0,38,190,6,255,190,107,186,183
98,1,47,75,12,77,214,75,71,101,139
99,5,0,44,207,6,255,207,117,189,186
100,1,52,83,13,77,215,83,78,99,141
101,5,0,52,235,7,255,235,133,195,192
102,1,51,84,13,76,216,84,79,98,141
103,5,0,42,202,6,255,202,114,188,185
104,1,53,85,13,77,216,85,80,98,141
105,5,0,41,200,6,255,200,112,188,185
106,3,242,239,235,103,7,242,241,127,126
107,3,244,243,242,105,2,244,244,128,127
108,3,244,241,239,108,5,244,243,128,126
109,3,245,244,242,100,3,245,245,127,127
110,1,74,123,17,76,220,123,116,88,147
111,1,74,123,17,76,220,123,116,88,147
112,1,74,123,17,76,220,123,116,88,147
113,1,68,114,16,76,219,114,107,90,146
