,Class,B,G,R,H,S,V,L,A,B
0,0,66,61,59,111,27,66,66,128,125
1,0,66,61,59,111,27,66,66,128,125
2,0,65,61,59,110,24,65,66,128,125
3,1,63,59,132,178,141,132,89,160,141
4,1,62,58,132,178,143,132,88,160,141
5,1,63,59,132,178,141,132,89,160,141
6,2,60,136,67,57,143,136,130,90,162
7,2,60,136,67,57,143,136,130,90,162
8,2,60,136,67,57,143,136,130,90,162
9,3,133,62,67,122,136,133,77,151,89
10,3,134,62,67,122,137,134,77,150,88
11,3,133,62,67,122,136,133,77,151,89
12,1,46,42,89,177,135,89,60,150,135
13,1,46,42,88,177,133,88,60,150,135
14,1,46,42,89,177,135,89,60,150,135
15,2,44,89,39,63,143,89,85,100,149
16,2,46,91,41,63,140,91,87,100,149
17,2,43,87,38,63,144,87,83,101,149
18,3,94,42,41,119,144,94,51,144,97
19,3,85,34,33,119,156,85,42,144,97
21,3,84,34,33,119,155,84,41,144,97
22,0,40,37,35,108,32,40,38,127,126
23,0,43,40,38,108,30,43,41,128,126
24,0,46,42,41,114,28,46,43,129,125
