,Class,B,G,R,H,S,V,L,A,B
0,5,50,45,41,107,46,50,47,127,124
1,5,13,12,11,105,39,13,9,128,128
2,3,152,61,55,118,163,152,78,155,77
3,3,254,33,33,120,222,254,90,200,25
4,0,40,30,23,108,108,40,27,128,120
5,0,10,8,7,110,77,10,6,128,127
6,2,18,117,14,61,224,117,109,82,171
7,2,67,223,54,62,193,223,200,57,189
8,1,26,23,109,179,201,109,60,166,149
9,1,72,61,193,177,174,193,117,181,152
10,7,68,79,49,79,97,79,79,114,131
11,7,150,163,99,84,100,163,160,104,128
12,7,76,85,53,82,96,85,85,114,129
13,6,148,144,142,110,10,148,152,128,126
14,6,231,225,221,108,11,231,228,128,125
15,6,181,181,181,0,0,181,188,128,128
16,8,56,59,109,2,124,109,79,149,139
17,8,45,43,80,178,118,80,57,145,134
18,8,132,128,198,178,90,198,155,156,137
19,8,62,61,108,179,111,108,80,149,136
20,4,45,123,120,31,162,123,127,116,169
21,4,54,235,233,30,196,235,231,108,208
22,8,95,93,182,179,125,182,128,164,143
23,1,27,21,224,179,231,224,121,199,180
24,6,240,236,233,107,7,240,238,128,126
25,6,234,228,223,106,12,234,231,127,124
26,7,139,151,97,83,91,151,149,107,129
27,8,90,92,179,1,127,179,126,163,145
28,7,137,163,100,78,99,163,159,102,135
29,8,96,92,162,178,110,162,120,157,138
30,7,137,146,96,85,87,146,145,109,128
31,8,102,97,159,178,99,159,123,154,136
32,8,82,79,159,179,128,159,111,161,142
33,8,80,79,143,0,114,143,105,155,139
34,0,60,45,33,107,115,60,46,127,117
35,6,183,169,159,108,33,183,176,127,120
36,0,48,34,24,108,128,48,33,128,118
37,0,84,63,47,107,112,84,67,128,113
38,0,57,45,37,108,89,57,47,128,120
39,0,32,23,15,106,135,32,18,128,120
