%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1615136396092158890,46067,1615136396046005108,/map,/base_link,-0.820855765533,3.33742019744,-0.749511414238,0.0637317319945,0.0684221356469,0.9956132925,0.00329385608346,10000.4544883,-0.0644613092366,-0.0224501018094,-1.57724454935e-05,4.25123618423e-07,1.98312098021e-05,-0.0644613092366,10000.5137701,0.000237298280786,2.37236561327e-05,7.14831171497e-06,0.000189259942668,-0.0224501018094,0.000237298280786,10000.0573331,4.68293876009e-06,8.03571209619e-07,-6.37723353971e-06,-1.57724454935e-05,2.37236561327e-05,4.68293876009e-06,1.2994431304e-05,5.66842356179e-07,-1.17520229106e-06,4.25123618423e-07,7.14831171497e-06,8.03571209619e-07,5.66842356179e-07,1.26146682741e-05,-3.21673962364e-06,1.98312098021e-05,0.000189259942668,-6.37723353971e-06,-1.17520229106e-06,-3.21673962364e-06,0.000625742285123,-0.226342079587,0.0196617467473,0.0249115889052,-0.0318532560721,0.0305129650178,0.0429419103944,0.0010792114703,-1.98487844236e-05,-8.00801940745e-05,-8.36310501083e-08,2.72129369577e-05,-8.25304064663e-09,-1.98487844236e-05,0.00107690542372,-8.86993176468e-05,-2.69988638255e-05,-1.05589940547e-06,2.38466399872e-06,-8.00801940745e-05,-8.86993176468e-05,8.57592665144e-05,3.04301632208e-06,-2.69693924683e-06,-2.78476648475e-07,-8.36310501083e-08,-2.69988638255e-05,3.04301632208e-06,3.32879945586e-06,9.53886002398e-08,8.52704135551e-07,2.72129369577e-05,-1.05589940547e-06,-2.69693924683e-06,9.53886002398e-08,3.29529854039e-06,7.2425327602e-07,-8.25304064663e-09,2.38466399872e-06,-2.78476648475e-07,8.52704135551e-07,7.2425327602e-07,1.06455426776e-05
1615136396092320842,46068,1615136396050927377,/map,/base_link,-0.819150863758,3.33733904521,-0.749515357842,0.0636582453198,0.0683346950503,0.995624318908,0.00319575572326,10000.4544952,-0.0644661634821,-0.0224205940677,-1.57706364549e-05,8.58556823897e-07,1.97170581564e-05,-0.0644661634821,10000.5137691,0.000237228816069,2.32877753524e-05,7.13581053255e-06,0.000189911782105,-0.0224205940677,0.000237228816069,10000.0573365,4.69471878367e-06,7.73089046352e-07,-6.36614499041e-06,-1.57706364549e-05,2.32877753524e-05,4.69471878367e-06,1.30456778758e-05,5.67169437709e-07,-1.17564015794e-06,8.58556823897e-07,7.13581053255e-06,7.73089046352e-07,5.67169437709e-07,1.2665540545e-05,-3.2195194527e-06,1.97170581564e-05,0.000189911782105,-6.36614499041e-06,-1.17564015794e-06,-3.2195194527e-06,0.000625742150113,-0.227549462211,0.0229404379581,0.0247553308339,-0.0344681488052,0.0313856659842,0.0298560936355,0.00108749161826,-2.00399064226e-05,-8.085427157e-05,-9.03509180351e-08,2.74125712753e-05,-2.54707300061e-08,-2.00399064226e-05,0.00108523244188,-8.94588132424e-05,-2.71981770599e-05,-1.06519482829e-06,2.42063463838e-06,-8.085427157e-05,-8.94588132424e-05,8.61250404448e-05,3.06555232759e-06,-2.72004728919e-06,-2.79398951195e-07,-9.03509180351e-08,-2.71981770599e-05,3.06555232759e-06,3.33367899034e-06,9.53850303768e-08,8.5224382745e-07,2.74125712753e-05,-1.06519482829e-06,-2.72004728919e-06,9.53850303768e-08,3.30022051118e-06,7.2421482381e-07,-2.54707300061e-08,2.42063463838e-06,-2.79398951195e-07,8.5224382745e-07,7.2421482381e-07,1.06455068114e-05
1615136396092336642,46069,1615136396055828008,/map,/base_link,-0.818118962625,3.33731700022,-0.749636537921,0.0635748986017,0.0682663054151,0.995634647822,0.00309707424397,10000.4545019,-0.0644883523295,-0.0224281680698,-1.57688224174e-05,1.29397836558e-06,1.9600520973e-05,-0.0644883523295,10000.5137945,0.000232490277845,2.2850154962e-05,7.12335743404e-06,0.000190563560341,-0.0224281680698,0.000232490277845,10000.0573283,4.70648797301e-06,7.42633039261e-07,-6.35469719036e-06,-1.57688224174e-05,2.2850154962e-05,4.70648797301e-06,1.30968216163e-05,5.67515205308e-07,-1.17526661379e-06,1.29397836558e-06,7.12335743404e-06,7.42633039261e-07,5.67515205308e-07,1.27163122127e-05,-3.22212659383e-06,1.9600520973e-05,0.000190563560341,-6.35469719036e-06,-1.17526661379e-06,-3.22212659383e-06,0.000625739140837,-0.227916726314,0.0212422886274,0.0262891238865,-0.0257432338032,0.0366216582403,0.0385849893466,0.00109580143037,-2.02336060202e-05,-8.16087922588e-05,-9.70702806453e-08,2.76122009027e-05,-4.23583597395e-08,-2.02336060202e-05,0.00109357901377,-9.02572033478e-05,-2.73972528613e-05,-1.07463211958e-06,2.45671828286e-06,-8.16087922588e-05,-9.02572033478e-05,8.64932639395e-05,3.08897090969e-06,-2.74249173668e-06,-2.80550863933e-07,-9.70702806453e-08,-2.73972528613e-05,3.08897090969e-06,3.33853202073e-06,9.53803991252e-08,8.51758444327e-07,2.76122009027e-05,-1.07463211958e-06,-2.74249173668e-06,9.53803991252e-08,3.30512069159e-06,7.24167598958e-07,-4.23583597395e-08,2.45671828286e-06,-2.80550863933e-07,8.51758444327e-07,7.24167598958e-07,1.06454579932e-05
1615136396092351470,46070,1615136396060747884,/map,/base_link,-0.817246258671,3.33701701609,-0.749364026527,0.0635230209445,0.0681954080256,0.995643073757,0.00301360471924,10000.4545194,-0.0644776473866,-0.0224359945458,-1.57670152971e-05,1.73476597837e-06,1.94891356114e-05,-0.0644776473866,10000.5137962,0.000232909991305,2.24072829399e-05,7.11067730636e-06,0.000191226279225,-0.0224359945458,0.000232909991305,10000.0573237,4.7181319068e-06,7.11832123359e-07,-6.34281187763e-06,-1.57670152971e-05,2.24072829399e-05,4.7181319068e-06,1.314836672e-05,5.67878693461e-07,-1.17413711117e-06,1.73476597837e-06,7.11067730636e-06,7.11832123359e-07,5.67878693461e-07,1.27674682938e-05,-3.22497673417e-06,1.94891356114e-05,0.000191226279225,-6.34281187763e-06,-1.17413711117e-06,-3.22497673417e-06,0.000625738385489,-0.230551441154,0.0210581630053,0.0239910619837,-0.0257445371849,0.0244043203324,0.0429442833967,0.00110419651646,-2.04353596593e-05,-8.24356482523e-05,-1.02876234823e-07,2.78132084622e-05,-5.88589717363e-08,-2.04353596593e-05,0.00110202244128,-9.1058321568e-05,-2.75978888251e-05,-1.08346096249e-06,2.49317912037e-06,-8.24356482523e-05,-9.1058321568e-05,8.68740938466e-05,3.11231486858e-06,-2.76685884455e-06,-2.81754156867e-07,-1.02876234823e-07,-2.75978888251e-05,3.11231486858e-06,3.34339950919e-06,9.5376211637e-08,8.51249464291e-07,2.78132084622e-05,-1.08346096249e-06,-2.76685884455e-06,9.5376211637e-08,3.31004023287e-06,7.24126914706e-07,-5.88589717363e-08,2.49317912037e-06,-2.81754156867e-07,8.51249464291e-07,7.24126914706e-07,1.06454327876e-05
1615136396092430324,46071,1615136396065672014,/map,/base_link,-0.81618807531,3.33691300388,-0.749402103442,0.0634469383278,0.0681657872874,0.995650220241,0.00292410562684,10000.4545101,-0.0644761462884,-0.0224439532363,-1.57651915684e-05,2.17998086541e-06,1.93716901338e-05,-0.0644761462884,10000.5138168,0.000213315073214,2.19600085832e-05,7.09768280008e-06,0.000191892019274,-0.0224439532363,0.000213315073214,10000.0573733,4.72991347067e-06,6.80867469999e-07,-6.33078735807e-06,-1.57651915684e-05,2.19600085832e-05,4.72991347067e-06,1.32001236707e-05,5.68248064842e-07,-1.17273777448e-06,2.17998086541e-06,7.09768280008e-06,6.80867469999e-07,5.68248064842e-07,1.28188110324e-05,-3.22837967027e-06,1.93716901338e-05,0.000191892019274,-6.33078735807e-06,-1.17273777448e-06,-3.22837967027e-06,0.000625738321936,-0.231016719846,0.0190784360381,0.0269330671658,-0.00829295643629,0.0348762641912,0.0481776801977,0.00111266964914,-2.06417508279e-05,-8.32180584088e-05,-1.08922192229e-07,2.80153096391e-05,-7.47860309902e-08,-2.06417508279e-05,0.00111052197726,-9.19507555581e-05,-2.7799190823e-05,-1.09275307122e-06,2.52978965482e-06,-8.32180584088e-05,-9.19507555581e-05,8.72638749314e-05,3.13794617065e-06,-2.78987865696e-06,-2.83438883262e-07,-1.08922192229e-07,-2.7799190823e-05,3.13794617065e-06,3.34826915649e-06,9.53735377759e-08,8.50730331438e-07,2.80153096391e-05,-1.09275307122e-06,-2.78987865696e-06,9.53735377759e-08,3.31496423164e-06,7.2410143711e-07,-7.47860309902e-08,2.52978965482e-06,-2.83438883262e-07,8.50730331438e-07,7.2410143711e-07,1.06454104124e-05
1615136396092450012,46072,1615136396070556834,/map,/base_link,-0.815155490319,3.33701796696,-0.749690882005,0.0633652326045,0.0681364998558,0.995657800111,0.00279459510499,10000.4545192,-0.0644659087115,-0.0224510463888,-1.57633853265e-05,2.62560353484e-06,1.92453622562e-05,-0.0644659087115,10000.5138273,0.000217073396933,2.15122339807e-05,7.08439660609e-06,0.000192552613473,-0.0224510463888,0.000217073396933,10000.0573745,4.74179224806e-06,6.50058982516e-07,-6.31884794296e-06,-1.57633853265e-05,2.15122339807e-05,4.74179224806e-06,1.3251544338e-05,5.68606874896e-07,-1.17166530537e-06,2.62560353484e-06,7.08439660609e-06,6.50058982516e-07,5.68606874896e-07,1.28697906612e-05,-3.23252245902e-06,1.92453622562e-05,0.000192552613473,-6.31884794296e-06,-1.17166530537e-06,-3.23252245902e-06,0.000625733917762,-0.231513310488,0.0167711368345,0.0274660860466,-0.00742386923297,0.0383669150668,0.0630077890648,0.00112113560173,-2.08464098927e-05,-8.39886891187e-05,-1.17224314581e-07,2.82165043555e-05,-8.98551272276e-08,-2.08464098927e-05,0.00111901844628,-9.28421273035e-05,-2.79996189163e-05,-1.10428192997e-06,2.56616778074e-06,-8.39886891187e-05,-9.28421273035e-05,8.76495210211e-05,3.16358649919e-06,-2.81225930759e-06,-2.85178492653e-07,-1.17224314581e-07,-2.79996189163e-05,3.16358649919e-06,3.35310085208e-06,9.53728087416e-08,8.50217372757e-07,2.82165043555e-05,-1.10428192997e-06,-2.81225930759e-06,9.53728087416e-08,3.31984904164e-06,7.24094397703e-07,-8.98551272276e-08,2.56616778074e-06,-2.85178492653e-07,8.50217372757e-07,7.24094397703e-07,1.06453422061e-05
1615136396092480535,46073,1615136396075541518,/map,/base_link,-0.813852005505,3.33697352611,-0.749766835757,0.063284680075,0.0681038376303,0.995665456023,0.00268630798704,10000.4545535,-0.0644706557758,-0.0224445049193,-1.57615846445e-05,3.08430787422e-06,1.91253973221e-05,-0.0644706557758,10000.5138363,0.000220485278289,2.10509301346e-05,7.07045606376e-06,0.000193231650983,-0.0224445049193,0.000220485278289,10000.057343,4.75374924688e-06,6.18402773073e-07,-6.30699194675e-06,-1.57615846445e-05,2.10509301346e-05,4.75374924688e-06,1.33043683408e-05,5.6895044622e-07,-1.17142042428e-06,3.08430787422e-06,7.07045606376e-06,6.18402773073e-07,5.6895044622e-07,1.29221330997e-05,-3.23741734656e-06,1.91253973221e-05,0.000193231650983,-6.30699194675e-06,-1.17142042428e-06,-3.23741734656e-06,0.000625741947963,-0.232570287686,0.0211700427399,0.0271973278781,-0.0100386938102,0.035748929481,0.0464245233305,0.00112983897774,-2.10555049481e-05,-8.47863141376e-05,-1.24519877e-07,2.84224926616e-05,-1.0549567727e-07,-2.10555049481e-05,0.00112775456233,-9.37544203404e-05,-2.82049330007e-05,-1.11476282494e-06,2.60327150183e-06,-8.47863141376e-05,-9.37544203404e-05,8.80467506139e-05,3.18962589795e-06,-2.83541558016e-06,-2.86904263025e-07,-1.24519877e-07,-2.82049330007e-05,3.18962589795e-06,3.35803714799e-06,9.53747404629e-08,8.49727178146e-07,2.84224926616e-05,-1.11476282494e-06,-2.83541558016e-06,9.53747404629e-08,3.32483364852e-06,7.24113966939e-07,-1.0549567727e-07,2.60327150183e-06,-2.86904263025e-07,8.49727178146e-07,7.24113966939e-07,1.06453609834e-05
1615136396092642086,46074,1615136396080286663,/map,/base_link,-0.812739125572,3.33666629066,-0.74944918999,0.0632153817153,0.0680739482526,0.995672239765,0.00255813315976,10000.4545676,-0.0644792120183,-0.0224182996891,-1.57599105084e-05,3.52470223015e-06,1.90034912525e-05,-0.0644792120183,10000.5138321,0.000222839438607,2.06075339676e-05,7.05642709913e-06,0.000193868625861,-0.0224182996891,0.000222839438607,10000.0573466,4.76529362189e-06,5.88254277453e-07,-6.29593724744e-06,-1.57599105084e-05,2.06075339676e-05,4.76529362189e-06,1.33543343681e-05,5.69237402839e-07,-1.17257919913e-06,3.52470223015e-06,7.05642709913e-06,5.88254277453e-07,5.69237402839e-07,1.29715864206e-05,-3.24378957409e-06,1.90034912525e-05,0.000193868625861,-6.29593724744e-06,-1.17257919913e-06,-3.24378957409e-06,0.000625722170408,-0.233482063937,0.020642274978,0.0273460577365,-0.0100386519257,0.0322582475291,0.0472995853331,0.00113817326601,-2.12556181983e-05,-8.55683221602e-05,-1.32943834119e-07,2.8619107412e-05,-1.1967103431e-07,-2.12556181983e-05,0.0011361285092,-9.46319158847e-05,-2.84010843129e-05,-1.12620891626e-06,2.63840304526e-06,-8.55683221602e-05,-9.46319158847e-05,8.84257947516e-05,3.21469619224e-06,-2.8578493524e-06,-2.88602658621e-07,-1.32943834119e-07,-2.84010843129e-05,3.21469619224e-06,3.36274047701e-06,9.53792049234e-08,8.49270727598e-07,2.8619107412e-05,-1.12620891626e-06,-2.8578493524e-06,9.53792049234e-08,3.32957831687e-06,7.24162699679e-07,-1.1967103431e-07,2.63840304526e-06,-2.88602658621e-07,8.49270727598e-07,7.24162699679e-07,1.06451236518e-05
1615136396092677974,46075,1615136396085319744,/map,/base_link,-0.811522479499,3.336720385,-0.749713354459,0.0631363550679,0.0680458583289,0.99567959626,0.00238818438109,10000.4545455,-0.064473358198,-0.0224459217517,-1.57581313426e-05,3.99610108483e-06,1.88637567737e-05,-0.064473358198,10000.5138483,0.00022248560675,2.01328631902e-05,7.04165967178e-06,0.000194557220828,-0.0224459217517,0.00022248560675,10000.0573469,4.77780188457e-06,5.56013800458e-07,-6.28452139884e-06,-1.57581313426e-05,2.01328631902e-05,4.77780188457e-06,1.34080657441e-05,5.6953319599e-07,-1.17415400061e-06,3.99610108483e-06,7.04165967178e-06,5.56013800458e-07,5.6953319599e-07,1.30247979976e-05,-3.24977477861e-06,1.88637567737e-05,0.000194557220828,-6.28452139884e-06,-1.17415400061e-06,-3.24977477861e-06,0.0006257367484,-0.234272813002,0.0187563124902,0.0291656556429,-0.00829468726548,0.0348761935238,0.0560312594969,0.00114708328612,-2.1468364852e-05,-8.63941130463e-05,-1.44004586929e-07,2.88283426755e-05,-1.35103556204e-07,-2.1468364852e-05,0.00114508123755,-9.55766675171e-05,-2.86097947036e-05,-1.14035957666e-06,2.67587246824e-06,-8.63941130463e-05,-9.55766675171e-05,8.88345571475e-05,3.24171006003e-06,-2.88125804607e-06,-2.90407260689e-07,-1.44004586929e-07,-2.86097947036e-05,3.24171006003e-06,3.36773463104e-06,9.53837197503e-08,8.48830131097e-07,2.88283426755e-05,-1.14035957666e-06,-2.88125804607e-06,9.53837197503e-08,3.33461087423e-06,7.24213800903e-07,-1.35103556204e-07,2.67587246824e-06,-2.90407260689e-07,8.48830131097e-07,7.24213800903e-07,1.06451698246e-05
1615136396135766357,46076,1615136396090237204,/map,/base_link,-0.810243662893,3.33648630259,-0.749484365653,0.0630491426334,0.068021837367,0.995687087469,0.00224924469179,10000.4545487,-0.0644627343316,-0.0224501638869,-1.57563970643e-05,4.46077256296e-06,1.87301275415e-05,-0.0644627343316,10000.5138777,0.000197192676538,1.96650194506e-05,7.02734621772e-06,0.000195229341637,-0.0224501638869,0.000197192676538,10000.0573553,4.78993231665e-06,5.2442142174e-07,-6.27299136827e-06,-1.57563970643e-05,1.96650194506e-05,4.78993231665e-06,1.34605013611e-05,5.69839973946e-07,-1.17534598183e-06,4.46077256296e-06,7.02734621772e-06,5.2442142174e-07,5.69839973946e-07,1.30767594401e-05,-3.25504542322e-06,1.87301275415e-05,0.000195229341637,-6.27299136827e-06,-1.17534598183e-06,-3.25504542322e-06,0.000625736983128,-0.23515009551,0.0195551676274,0.0300135875336,-0.00741972603883,0.0383668365864,0.0464358764634,0.00115585916871,-2.16769352086e-05,-8.71842915818e-05,-1.53438911336e-07,2.90337148558e-05,-1.50924751909e-07,-2.16769352086e-05,0.00115388953935,-9.65157898362e-05,-2.88144782672e-05,-1.15275412577e-06,2.71274925174e-06,-8.71842915818e-05,-9.65157898362e-05,8.92314971952e-05,3.26829613156e-06,-2.90370393484e-06,-2.92174596288e-07,-1.53438911336e-07,-2.88144782672e-05,3.26829613156e-06,3.37261082459e-06,9.53855860406e-08,8.48376986997e-07,2.90337148558e-05,-1.15275412577e-06,-2.90370393484e-06,9.53855860406e-08,3.33952824983e-06,7.24234294476e-07,-1.50924751909e-07,2.71274925174e-06,-2.92174596288e-07,8.48376986997e-07,7.24234294476e-07,1.06451113402e-05
