Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615136626.611830237,-1.96251,2.77783,-0.884052,0.0767744,0.0674128,0.984913,-0.139666,-0.00840751,0.00548196,-0.00562418,0.00301467,-0.0017758,0.00872925
1615136626.616689844,-1.96252,2.77784,-0.884127,0.0767713,0.0673996,0.98492,-0.139626,-0.00842475,0.00818422,-0.00442869,-0.00396586,0.00258725,-6.1926e-06
1615136626.621562832,-1.96187,2.77762,-0.883949,0.0767617,0.0673613,0.984924,-0.139622,-0.00808323,0.00745114,-0.00322532,-0.0135675,0.00695042,0.00871402
1615136626.626477582,-1.96215,2.7778,-0.884263,0.0767582,0.0673447,0.984919,-0.139666,-0.00790408,0.00415739,-0.00437622,-0.00484306,0.00345975,0.0191874
1615136626.631428916,-1.9623,2.77775,-0.884234,0.0767548,0.0673323,0.984913,-0.139721,-0.00814079,0.00479746,-0.00479228,-0.00396929,0.0025872,0.0157002
1615136626.636312824,-1.96198,2.77775,-0.884247,0.0767473,0.067311,0.984907,-0.139772,-0.00843618,0.00685181,-0.00431693,-0.00833074,0.00433273,0.00959613
1615136626.641203806,-1.96216,2.7778,-0.88438,0.0767411,0.0673225,0.9849,-0.139824,-0.00900756,0.00635519,-0.00465338,0.00476028,0.00171497,0.00785927
1615136626.646108222,-1.96195,2.77778,-0.884297,0.0767582,0.0673691,0.984889,-0.139869,-0.00998591,0.00500637,-0.00764319,0.0178508,-0.00962948,0.00786649
1615136626.651028079,-1.96216,2.77787,-0.884609,0.0767674,0.0674192,0.984879,-0.139906,-0.00959563,0.00382163,-0.00681484,0.0204683,-0.00613876,0.0113591
1615136626.655940298,-1.96213,2.77789,-0.88465,0.0767756,0.0674291,0.984874,-0.139939,-0.00919044,0.0039729,-0.0054604,0.005631,-0.00264822,0.0192073
1615136626.660867293,-1.96166,2.77749,-0.884138,0.0767659,0.0674429,0.984874,-0.139933,-0.00846407,0.00551052,-0.00405163,0.0082497,0.00433281,0.0113473
1615136626.665654473,-1.96186,2.77774,-0.884647,0.0767633,0.0674249,0.98488,-0.139906,-0.00867819,0.00704044,-0.00458155,-0.00484119,0.00345976,0.0095901
1615136626.670675425,-1.96194,2.77766,-0.884522,0.0767558,0.0674367,0.984885,-0.139867,-0.00831933,0.00699785,-0.00451791,0.00737541,0.00345938,0.00609161
1615136626.675452545,-1.9615,2.77736,-0.884251,0.0767562,0.0674455,0.984886,-0.139851,-0.00821622,0.00617412,-0.00466937,0.00649989,0.000841078,0.0139361
1615136626.680468318,-1.96188,2.77746,-0.884482,0.076739,0.0674641,0.984891,-0.139818,-0.00768521,0.00986929,-0.00379655,0.00912033,0.0060769,-0.00177717
1615136626.685321937,-1.96178,2.77753,-0.884713,0.0767375,0.06749,0.984891,-0.139811,-0.0086859,0.00947892,-0.00566603,0.0108653,-0.000904452,-0.000905501
1615136626.690301557,-1.96136,2.77737,-0.884517,0.0767552,0.0675036,0.984878,-0.139882,-0.0095595,0.00568373,-0.00701546,0.00562532,-0.007013,0.0209139
1615136626.695153964,-1.96329,2.77792,-0.883149,0.0766824,0.0676117,0.984863,-0.139974,-0.00601717,0.00484281,-0.00306703,0.0117921,0.00697253,0.0148059
1615136626.700089417,-1.96313,2.77785,-0.883003,0.0766954,0.067626,0.984851,-0.14005,-0.00718034,0.00541222,-0.00573121,0.00481213,-0.00611709,0.0130674
1615136626.705012158,-1.96315,2.77799,-0.883424,0.0766866,0.0676406,0.984847,-0.140074,-0.00704704,0.00959006,-0.00380517,0.00481668,0.00173719,-0.00525173
1615136626.710248592,-1.96325,2.77773,-0.88298,0.0766858,0.0676746,0.984841,-0.140097,-0.00770213,0.00811691,-0.00463436,0.0126696,-0.00175332,0.0017342
1615136626.714822478,-1.96318,2.77762,-0.882892,0.0766867,0.0677248,0.984834,-0.140126,-0.00803168,0.00470829,-0.00490613,0.023139,-0.00262604,0.0139526
1615136626.719690904,-1.96299,2.77768,-0.883096,0.0766773,0.0677479,0.984834,-0.140118,-0.00722693,0.0077265,-0.00396139,0.0117946,0.00348235,0.00870836
1615136626.724636286,-1.9632,2.77757,-0.883042,0.0766628,0.067757,0.984835,-0.140114,-0.00729491,0.00596755,-0.0032737,0.00742846,0.00697263,0.0165527
1615136626.729435004,-1.96294,2.77777,-0.883347,0.0766696,0.0677632,0.984837,-0.14009,-0.00910068,0.00760729,-0.00502624,0.00481023,-0.00175439,0.0113066
1615136626.734380204,-1.96298,2.77768,-0.883368,0.0766671,0.0678,0.984839,-0.140064,-0.00889267,0.00803412,-0.00475151,0.0170273,-9.35882e-06,0.00693724
1615136626.739233306,-1.96284,2.77775,-0.883513,0.0766406,0.0678325,0.984841,-0.140049,-0.00756382,0.00941318,-0.00293237,0.0161544,0.00958979,0.00431359
1615136626.744193469,-1.9631,2.77755,-0.883438,0.0766425,0.0678697,0.984837,-0.140059,-0.00910649,0.00895577,-0.00574973,0.0152817,-0.00262754,0.00431273
1615136626.749043157,-1.96252,2.77745,-0.883195,0.0766133,0.067913,0.98483,-0.140099,-0.00829753,0.00786633,-0.00291112,0.0196447,0.00958987,0.00780733
1615136626.753985732,-1.96286,2.77752,-0.883453,0.0765911,0.0679514,0.984819,-0.140168,-0.00852596,0.00629055,-0.00336085,0.0170261,0.00697207,0.0139212
1615136626.758866083,-1.96276,2.77757,-0.883517,0.0765644,0.067979,0.984811,-0.140229,-0.00851105,0.00800603,-0.00319661,0.011793,0.00871771,0.00432969
1615136626.763781053,-1.96287,2.77752,-0.88351,0.0765476,0.0680239,0.984801,-0.140289,-0.00983176,0.00720453,-0.00438501,0.0179031,0.00348209,0.00259486
1615136626.768682860,-1.9629,2.77742,-0.883278,0.07655,0.0680313,0.984791,-0.140352,-0.0108103,0.0073111,-0.00519638,0.00219503,-0.00175355,0.007836
1615136626.773574736,-1.96246,2.77744,-0.883396,0.0765702,0.0680266,0.984781,-0.140412,-0.0112377,0.00732825,-0.0068586,-0.00304111,-0.00786193,0.0122044
1615136626.778493044,-1.9625,2.77745,-0.883435,0.0765598,0.0680542,0.984775,-0.140445,-0.00999187,0.00767489,-0.00521481,0.0117958,0.00261018,0.00610162
1615136626.783342668,-1.96272,2.77748,-0.883635,0.0765672,0.0680669,0.984768,-0.140487,-0.0104602,0.00582945,-0.0066896,0.00655702,-0.00262585,0.0191896
1615136626.788296936,-1.96245,2.77741,-0.883583,0.0765679,0.0680889,0.984768,-0.140472,-0.0104429,0.00918729,-0.00622741,0.01005,-0.000880751,0.00434995
1615136626.793202948,-1.96241,2.77729,-0.883583,0.0765589,0.0681114,0.984771,-0.140448,-0.00978477,0.00818301,-0.00536653,0.0117935,0.00348221,0.00783259
1615136626.798117987,-1.96229,2.7772,-0.883548,0.0765601,0.0681394,0.984775,-0.140406,-0.00987041,0.0086329,-0.00603811,0.0135379,-0.000881535,0.00520438
1615136626.803150029,-1.96221,2.77703,-0.883419,0.0765574,0.0681648,0.98478,-0.140362,-0.00980449,0.00844358,-0.00556393,0.0126634,0.000863389,0.00606543
1615136626.807943301,-1.96206,2.77723,-0.88382,0.0765512,0.0681809,0.984787,-0.140309,-0.0102145,0.00947845,-0.00493122,0.00917216,0.00260838,0.00169029
1615136626.812789429,-1.96217,2.77703,-0.883573,0.076526,0.0682063,0.984793,-0.140266,-0.00992955,0.0091214,-0.0033621,0.0135345,0.00958947,0.000809438
1615136626.817640243,-1.96223,2.77707,-0.883789,0.0765092,0.0682279,0.984797,-0.140239,-0.010083,0.00976668,-0.00431481,0.0109157,0.00609869,0.000802919
1615136626.822715967,-1.9641,2.77702,-0.882375,0.0764047,0.068321,0.984793,-0.140279,-0.00776709,0.00575059,-0.00432138,0.0161922,0.00527295,0.0103941
1615136626.827581153,-1.96416,2.77706,-0.882503,0.0763805,0.0683639,0.984786,-0.140319,-0.00777225,0.00494422,-0.00367416,0.0196829,0.00789098,0.0112691
1615136626.832452788,-1.96389,2.77695,-0.882345,0.0763724,0.0683898,0.984777,-0.14037,-0.00868379,0.00628784,-0.00532488,0.0109574,0.00178247,0.00865463
1615136626.837355976,-1.9641,2.77702,-0.882407,0.0763386,0.0684058,0.984772,-0.140421,-0.00759184,0.00751561,-0.00395039,0.00746879,0.0122547,0.0025529
1615136626.842229736,-1.96399,2.77723,-0.882825,0.0763258,0.0684231,0.984764,-0.140473,-0.00829105,0.0075246,-0.00601752,0.00659728,0.00352835,0.00168882
1615136626.847147568,-1.96378,2.77698,-0.882516,0.0763226,0.0684242,0.984759,-0.140509,-0.00862833,0.00970209,-0.00679592,-0.00125425,3.80485e-05,-0.00528494
1615136626.852029437,-1.96409,2.77719,-0.882869,0.0763039,0.0684462,0.984756,-0.140531,-0.008056,0.00881961,-0.00608473,0.00834622,0.00527432,-0.00702148
1615136626.856907721,-1.96397,2.77721,-0.88295,0.07629,0.0684732,0.984752,-0.140552,-0.00801616,0.00732459,-0.00651975,0.0109637,0.00352918,-0.00178075
1615136626.861827895,-1.96397,2.77707,-0.882804,0.0762683,0.0684787,0.98475,-0.140578,-0.00772578,0.00588072,-0.0052879,0.00398053,0.00876521,0.00781814
1615136626.866747028,-1.96373,2.7771,-0.88301,0.0762912,0.0684919,0.984747,-0.140577,-0.00987231,0.00670659,-0.00956147,0.00485341,-0.00956085,0.00519795
1615136626.871633001,-1.96403,2.77706,-0.882944,0.0762961,0.0685001,0.984753,-0.140526,-0.00977679,0.00991101,-0.00829221,0.0031104,-0.00257977,-0.00964289
1615136626.876565993,-1.96385,2.77708,-0.883121,0.0762766,0.0685355,0.984758,-0.140483,-0.00864959,0.00684846,-0.00669285,0.0161984,0.00614656,-0.00441102
1615136626.881492177,-1.96344,2.77688,-0.882942,0.076275,0.0685509,0.98476,-0.140465,-0.00892847,0.00506408,-0.00768279,0.0083407,0.000910252,0.00866984
1615136626.886360907,-1.96359,2.77698,-0.883258,0.076255,0.0685559,0.984765,-0.140438,-0.00775538,0.00653495,-0.00590524,0.00484993,0.00876393,0.00429846
1615136626.891282865,-1.96344,2.77688,-0.883212,0.0762356,0.068577,0.984765,-0.140439,-0.00775815,0.00415559,-0.00616747,0.0118286,0.00789102,0.0130202
1615136626.896226584,-1.96394,2.77705,-0.883535,0.0762471,0.0685967,0.984764,-0.140427,-0.00905708,0.00606895,-0.00915825,0.00833919,-0.00519911,0.00428856
1615136626.901067826,-1.96348,2.7769,-0.883315,0.0762452,0.06863,0.984762,-0.140426,-0.0085551,0.00517875,-0.00862023,0.0144477,-0.000835866,0.00341493
1615136626.906000088,-1.96329,2.77691,-0.88339,0.0762263,0.0686492,0.984763,-0.140421,-0.00748422,0.00717284,-0.00701816,0.00834077,0.00614547,-0.00443966
1615136626.910862949,-1.96318,2.77659,-0.883065,0.0762105,0.0686512,0.984761,-0.140448,-0.00741571,0.0062701,-0.00657971,0.00135846,0.0061456,0.00254391
1615136626.915918409,-1.9632,2.7767,-0.883267,0.076232,0.0686929,0.984751,-0.14048,-0.00899004,0.00516112,-0.0100468,0.0144494,-0.0113075,0.000806718
1615136626.920878238,-1.96338,2.77678,-0.883435,0.0762246,0.0687292,0.984745,-0.140512,-0.00763316,0.00571439,-0.00752928,0.0135784,3.73899e-05,-0.00354963
1615136626.925629838,-1.96324,2.77672,-0.883294,0.0762227,0.0687762,0.984734,-0.140569,-0.00768401,0.00368625,-0.00784131,0.0188138,-0.00258029,0.00431361
1615136626.930612687,-1.96322,2.77672,-0.88343,0.0762205,0.0687887,0.984723,-0.14064,-0.00719111,0.00299972,-0.00665381,0.00485063,3.80245e-05,0.0113
1615136626.935567092,-1.96332,2.77678,-0.883538,0.0761869,0.0688004,0.98472,-0.140672,-0.00592215,0.0050093,-0.00363131,0.00572627,0.0122556,-3.898e-05
1615136626.940419888,-1.963,2.77668,-0.883452,0.0761767,0.0688057,0.984719,-0.140685,-0.00676437,0.00556169,-0.00552986,0.00223611,0.00352903,-0.000909789
1615136626.945274061,-1.96323,2.77686,-0.883687,0.0761531,0.0688091,0.984719,-0.14069,-0.00607235,0.00442142,-0.00413127,0.00310799,0.00963766,0.00258047
1615136626.950084240,-1.9631,2.77663,-0.883433,0.076145,0.0687839,0.984725,-0.14067,-0.00614279,0.00586274,-0.00508155,-0.0091097,0.00527415,0.00170112
1615136626.955327596,-1.96415,2.77589,-0.882382,0.0760938,0.0687642,0.984735,-0.140632,-0.00469461,0.00724038,-0.00476016,-0.00561511,0.00616934,-0.00354245
1615136626.959956056,-1.96452,2.77596,-0.882445,0.0760878,0.0687643,0.984742,-0.140591,-0.0053281,0.00514613,-0.00554184,0.00223639,0.00355092,0.00255899
1615136626.964774412,-1.96438,2.77572,-0.882356,0.076094,0.0687652,0.984753,-0.140511,-0.00576009,0.00819441,-0.00673393,0.000493018,-0.00255814,-0.0131582
1615136626.969666539,-1.96425,2.77571,-0.882396,0.0760753,0.0687897,0.984758,-0.140472,-0.00482234,0.00347956,-0.00446495,0.0127061,0.0070408,0.00167086
1615136626.974585313,-1.96421,2.77568,-0.882484,0.0761017,0.068796,0.984761,-0.140436,-0.00653339,0.00490066,-0.00820198,0.0022334,-0.0104128,0.000789279
1615136626.979487036,-1.96398,2.7755,-0.882211,0.0761253,0.0687983,0.984758,-0.14044,-0.00625366,0.00274466,-0.00772534,0.00135782,-0.0086676,0.0121292
1615136626.984408103,-1.96417,2.77571,-0.882631,0.0761309,0.0688191,0.984758,-0.140427,-0.00584483,0.00449223,-0.00652657,0.00834154,-0.00343169,-0.000961476
1615136626.989288439,-1.96406,2.77566,-0.88255,0.076122,0.0688361,0.984755,-0.140445,-0.00514782,0.00381909,-0.0048039,0.00746818,0.00267702,0.00340326
1615136626.994226278,-1.96368,2.77563,-0.882504,0.0761085,0.0688761,0.98475,-0.140467,-0.00509984,0.00385672,-0.00472024,0.0161962,0.00267715,-0.000954531
1615136626.999109700,-1.96409,2.77573,-0.882771,0.076121,0.0689301,0.98474,-0.140507,-0.0061962,0.00235265,-0.00751342,0.0205595,-0.00866728,0.00254301
1615136627.3985336,-1.96391,2.77572,-0.882803,0.0761318,0.0689367,0.984732,-0.140553,-0.00562292,0.0034694,-0.00645746,0.00136126,-0.00517638,0.00429128
1615136627.8887573,-1.96405,2.77575,-0.882851,0.0761167,0.0689448,0.98473,-0.140567,-0.00430445,0.00634385,-0.00367355,0.00223756,0.00442319,-0.00966432
1615136627.13801004,-1.96411,2.77578,-0.882909,0.0761181,0.0689629,0.984727,-0.140581,-0.00495737,0.00542727,-0.00489723,0.00572834,-0.00255791,-0.00704009
1615136627.18702486,-1.96395,2.77557,-0.88266,0.0761277,0.0689759,0.984725,-0.140586,-0.00563849,0.00501767,-0.00582195,0.00398263,-0.00517579,-0.00354707
1615136627.23596238,-1.96393,2.77552,-0.882599,0.0761054,0.0689917,0.984727,-0.140574,-0.00439919,0.00483502,-0.00358394,0.00747336,0.00791414,-0.00441984
1615136627.28509139,-1.96391,2.77561,-0.882844,0.0760921,0.0690017,0.984729,-0.140564,-0.00457941,0.00365313,-0.00418951,0.00572596,0.005296,0.00343013
1615136627.33431259,-1.96375,2.7754,-0.882547,0.0760928,0.0690216,0.984731,-0.14054,-0.00497395,0.00282208,-0.00571079,0.009216,-0.000812886,0.00255222
1615136627.38353890,-1.96377,2.7757,-0.883153,0.0760809,0.0690323,0.984738,-0.140487,-0.00406462,0.0048528,-0.00480523,0.00572613,0.00442283,-0.00618254
1615136627.43273653,-1.96388,2.7757,-0.883259,0.0760684,0.0690243,0.984744,-0.140455,-0.0036302,0.00339767,-0.0047925,-0.00125768,0.00616793,0.00166323
1615136627.48141054,-1.96375,2.77551,-0.883002,0.0760645,0.0689989,0.98475,-0.14043,-0.00366527,0.00418278,-0.00570001,-0.00911234,0.00354977,0.00165639
1615136627.53050483,-1.96376,2.77539,-0.882882,0.0760598,0.068995,0.984751,-0.14043,-0.00367176,0.00266757,-0.00580138,-0.000386928,0.00267702,0.0060187
1615136627.57937065,-1.96389,2.77548,-0.883053,0.0760527,0.0689938,0.984752,-0.140423,-0.00426726,0.00517081,-0.00569555,-0.000384955,0.00267702,-0.00358046
