Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615136779.63371896,0.446995,-2.73396,18.3611,0.188889,-0.745913,-0.384156
1615136779.65499067,0.469237,-2.64791,18.1928,0.276362,-0.877939,-0.515533
1615136779.67053079,0.553169,-2.41932,18.5725,0.0145448,-0.529368,-0.603378
1615136779.100004911,0.46542,-1.50341,18.4375,0.363272,-0.180629,-1.30515
1615136779.100991010,0.685486,-1.39184,18.8385,0.538231,0.125392,-1.3494
1615136779.101764917,0.442743,-1.43773,18.2088,0.145605,-0.573368,-1.04461
1615136779.144455909,0.436477,-1.97559,19.1539,0.365744,0.0350397,-1.13743
1615136779.146508932,0.552445,-2.56698,19.3188,0.191066,0.298241,-0.439147
1615136779.147833108,0.207455,-2.27282,18.6189,0.278522,-0.268754,-0.657306
1615136779.192470073,-0.0802203,-1.77977,19.1606,0.454089,-0.221583,-0.918365
1615136779.193973064,-0.0240136,-2.15512,19.5165,0.192243,0.0409808,-0.525844
1615136779.195358037,-0.305189,-2.91607,19.0737,0.803521,-0.395339,-0.220286
1615136779.236213922,-0.278629,-1.8676,19.0668,0.0631599,-0.565793,-0.920715
1615136779.237143993,-0.149572,-2.58077,19.3648,0.761688,-0.216646,-0.484761
1615136779.237906932,-0.295643,-2.57212,18.8202,0.761905,-0.347583,-0.441604
1615136779.280397891,-0.139325,-2.46326,18.9431,0.282279,-0.698117,-0.445819
1615136779.282260894,0.180145,-2.10613,19.6304,0.282522,-0.130442,-0.83858
1615136779.284008979,-0.247734,-2.2259,18.4789,0.588459,-1.22298,-0.882416
1615136779.324459075,0.129095,-1.96177,18.9261,-0.284807,-0.833693,-0.62197
1615136779.325978040,0.0495587,-2.05554,18.8835,0.151666,-0.878564,-0.753474
1615136779.327313899,0.037007,-2.11149,18.7535,0.413806,-1.011,-0.797831
1615136779.332532882,0.219661,-2.81589,19.2062,0.32653,-0.662353,-0.143283
1615136779.333967924,0.000227496,-2.79273,19.0018,0.501355,-0.793898,-0.186704
1615136779.379939079,0.164555,-1.97222,18.2407,0.0179501,-0.890292,-0.144991
1615136779.380795001,0.00335998,-1.16181,17.9998,-0.418554,-1.15377,-0.756565
1615136779.381603956,0.179088,-1.80682,18.411,-0.0697135,-0.761714,-0.320203
1615136779.424046993,-0.0104739,-2.11877,17.4898,0.0605396,-1.33508,-0.0170403
1615136779.424994945,0.261575,-2.36379,18.0595,-0.114325,-0.899553,0.332037
1615136779.425666093,0.50041,-2.05468,18.6312,0.496921,-0.37605,-0.279114
1615136779.464046955,0.248706,-1.92849,18.0825,0.235223,-0.900714,-0.279521
1615136779.464755058,0.504098,-1.83724,18.4746,-0.157763,-0.595512,-0.104975
1615136779.508049964,0.630417,-1.23402,18.396,-0.0300788,-0.290158,-0.321501
1615136779.508968114,0.265928,-1.39138,17.6055,0.0134031,-0.945408,-0.0593064
1615136779.509710073,0.232471,-1.42984,18.074,0.231667,-0.552935,-0.233818
1615136779.556693077,0.146965,-0.952875,17.882,0.0548345,-0.465729,-0.40791
1615136779.559847116,0.161656,-1.1541,17.708,0.316764,-0.465638,-0.363939
1615136779.566004991,0.0279105,-1.83632,17.4687,0.753436,-0.72768,0.073082
1615136779.600030899,-0.0688528,-1.64743,18.5283,0.885304,0.324579,-0.318848
1615136779.601133108,0.0893198,-1.92718,18.8862,0.230572,0.676256,0.249148
1615136779.602015018,-0.271644,-2.24076,18.0975,0.317787,-0.0643117,0.424664
1615136779.648025035,-0.424684,-1.65578,17.8267,-0.162097,-0.236198,0.0745818
