%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1618074010084811061,2277,1618074010043559523,/map,/base_link,0.187007005468,-0.00660920217118,0.0925869196423,-0.0444035336153,-0.0398349153278,-0.995901871462,0.0679777032623,10000.0076909,2.15871315083e-05,-0.001185268458,1.54483226909e-05,4.32648441392e-05,3.0579044235e-05,2.15871315083e-05,10000.0073398,-0.000635450766468,-2.0418927543e-05,-1.68871196549e-05,8.39729707093e-05,-0.001185268458,-0.000635450766468,10000.0015287,4.53831646798e-06,-1.83836943948e-05,7.05670889233e-06,1.54483226909e-05,-2.0418927543e-05,4.53831646798e-06,1.27889640221e-05,1.48167061938e-06,-4.29507835374e-06,4.32648441392e-05,-1.68871196549e-05,-1.83836943948e-05,1.48167061938e-06,1.36280248033e-05,-2.9435091076e-06,3.0579044235e-05,8.39729707093e-05,7.05670889233e-06,-4.29507835374e-06,-2.9435091076e-06,0.000474960160631,0.0378556324251,0.0211120606912,0.00454989696342,0.0340612682551,-0.0415071014381,0.0634304727225,0.00157600872507,-0.000310001607842,0.000105862201301,6.80037925598e-06,3.37132502513e-05,9.3714234114e-07,-0.000310001607842,0.00140032094612,-3.36883509115e-05,-3.29557839418e-05,-6.94943054298e-06,-1.6641032365e-06,0.000105862201301,-3.36883509115e-05,9.24123663313e-05,1.66915785219e-06,5.15716568319e-07,2.51342897848e-07,6.80037925598e-06,-3.29557839418e-05,1.66915785219e-06,3.44649535108e-06,1.59589557299e-07,9.85112436327e-07,3.37132502513e-05,-6.94943054298e-06,5.15716568319e-07,1.59589557299e-07,3.29792578998e-06,2.17408166852e-07,9.3714234114e-07,-1.6641032365e-06,2.51342897848e-07,9.85112436327e-07,2.17408166852e-07,1.0475268601e-05
1618074010084837840,2278,1618074010048433383,/map,/base_link,0.186894951743,-0.00687751542263,0.0929153264484,-0.0445011759964,-0.0399002509866,-0.995886174695,0.0681053768563,10000.0077319,2.79765944009e-05,-0.00120928294557,1.55773794885e-05,4.38935632366e-05,3.03853888414e-05,2.79765944009e-05,10000.007335,-0.000621458200097,-2.09376865567e-05,-1.70157009862e-05,8.39911621191e-05,-0.00120928294557,-0.000621458200097,10000.0015348,4.55589157444e-06,-1.8462859881e-05,7.09988833223e-06,1.55773794885e-05,-2.09376865567e-05,4.55589157444e-06,1.28418385533e-05,1.48582613238e-06,-4.3093677443e-06,4.38935632366e-05,-1.70157009862e-05,-1.8462859881e-05,1.48582613238e-06,1.36823080662e-05,-2.95086533286e-06,3.03853888414e-05,8.39911621191e-05,7.09988833223e-06,-4.3093677443e-06,-2.95086533286e-06,0.00047504377403,0.0378425861989,0.0227635856324,0.00494033671245,0.0270806316586,-0.0397614543899,0.0590631478363,0.00158654523909,-0.000312269966455,0.000105509336855,6.8119083385e-06,3.39237992646e-05,9.33753894791e-07,-0.000312269966455,0.00141069128124,-3.42809369965e-05,-3.3176739802e-05,-6.98372591126e-06,-1.67935872021e-06,0.000105509336855,-3.42809369965e-05,9.26330196724e-05,1.68582061371e-06,4.95444956117e-07,2.53387951574e-07,6.8119083385e-06,-3.3176739802e-05,1.68582061371e-06,3.45135263319e-06,1.59614834862e-07,9.84907228273e-07,3.39237992646e-05,-6.98372591126e-06,4.95444956117e-07,1.59614834862e-07,3.30276110739e-06,2.17721062995e-07,9.33753894791e-07,-1.67935872021e-06,2.53387951574e-07,9.84907228273e-07,2.17721062995e-07,1.04776023102e-05
1618074010084845932,2279,1618074010053412543,/map,/base_link,0.186745366609,-0.0068069924261,0.0926284895563,-0.0446032317413,-0.0400015455347,-0.9958678851,0.0682464907532,10000.0077545,1.72244849048e-05,-0.0012074888341,1.57099055188e-05,4.45406081388e-05,3.01824831626e-05,1.72244849048e-05,10000.0073421,-0.000630448313079,-2.14719421758e-05,-1.71477415071e-05,8.40121204503e-05,-0.0012074888341,-0.000630448313079,10000.0015456,4.57403463716e-06,-1.85439679443e-05,7.14376561987e-06,1.57099055188e-05,-2.14719421758e-05,4.57403463716e-06,1.2896224244e-05,1.49007621355e-06,-4.32394228861e-06,4.45406081388e-05,-1.71477415071e-05,-1.85439679443e-05,1.49007621355e-06,1.37381446137e-05,-2.95813100179e-06,3.01824831626e-05,8.40121204503e-05,7.14376561987e-06,-4.32394228861e-06,-2.95813100179e-06,0.000475136636142,0.0374785061292,0.0207613134214,0.00404687558815,0.041042351138,-0.0415064731902,0.0625541289186,0.00159737074931,-0.000314595770163,0.000105148847883,6.82298935895e-06,3.41395360695e-05,9.30089572786e-07,-0.000314595770163,0.00142136910556,-3.49835262264e-05,-3.34032767957e-05,-7.01956573233e-06,-1.69488056933e-06,0.000105148847883,-3.49835262264e-05,9.28647290545e-05,1.70517450189e-06,4.7477607705e-07,2.55430422351e-07,6.82298935895e-06,-3.34032767957e-05,1.70517450189e-06,3.4563152579e-06,1.59640085561e-07,9.84702167488e-07,3.41395360695e-05,-7.01956573233e-06,4.7477607705e-07,1.59640085561e-07,3.30770170756e-06,2.1803420712e-07,9.30089572786e-07,-1.69488056933e-06,2.55430422351e-07,9.84702167488e-07,2.1803420712e-07,1.04800384293e-05
1618074010084964877,2280,1618074010058258301,/map,/base_link,0.186506973872,-0.00689842241832,0.0924893563342,-0.0446878319305,-0.0400874147524,-0.995852682781,0.0683624974146,10000.0077522,2.18562638375e-05,-0.0012025696774,1.58394478148e-05,4.51748399406e-05,2.99872223401e-05,2.18562638375e-05,10000.0073618,-0.00065129922427,-2.19961682268e-05,-1.72769611307e-05,8.40332758785e-05,-0.0012025696774,-0.00065129922427,10000.0015633,4.59154493309e-06,-1.86230190391e-05,7.18703439735e-06,1.58394478148e-05,-2.19961682268e-05,4.59154493309e-06,1.29490489172e-05,1.49421581835e-06,-4.33813585895e-06,4.51748399406e-05,-1.72769611307e-05,-1.86230190391e-05,1.49421581835e-06,1.37923672825e-05,-2.96558651073e-06,2.99872223401e-05,8.40332758785e-05,7.18703439735e-06,-4.33813585895e-06,-2.96558651073e-06,0.000475218067786,0.0377214611327,0.0233073454309,0.0052034377859,0.0358079394473,-0.0353975111585,0.0538239112366,0.00160799147755,-0.000316864162529,0.00010482826487,6.83507158259e-06,3.43505016061e-05,9.2670739816e-07,-0.000316864162529,0.00143180591339,-3.5645221353e-05,-3.36242951471e-05,-7.05312568209e-06,-1.71004940763e-06,0.00010482826487,-3.5645221353e-05,9.30938651612e-05,1.72350553969e-06,4.55340842931e-07,2.57476445029e-07,6.83507158259e-06,-3.36242951471e-05,1.72350553969e-06,3.4611445547e-06,1.59665390928e-07,9.844974383e-07,3.43505016061e-05,-7.05312568209e-06,4.55340842931e-07,1.59665390928e-07,3.31250856429e-06,2.18348931911e-07,9.2670739816e-07,-1.71004940763e-06,2.57476445029e-07,9.844974383e-07,2.18348931911e-07,1.04823379541e-05
1618074010084977693,2281,1618074010063194628,/map,/base_link,0.186471646888,-0.00724677739353,0.0928654449733,-0.0447913634116,-0.0401639590085,-0.995838107802,0.0684620567146,10000.0077663,1.8592369527e-05,-0.00120676234772,1.59719867155e-05,4.58254726517e-05,2.97932891092e-05,1.8592369527e-05,10000.0073599,-0.000633680525468,-2.25344114746e-05,-1.74092930157e-05,8.40596143016e-05,-0.00120676234772,-0.000633680525468,10000.0015508,4.60928617167e-06,-1.87039074898e-05,7.23109344711e-06,1.59719867155e-05,-2.25344114746e-05,4.60928617167e-06,1.30031971414e-05,1.49843823064e-06,-4.35255374928e-06,4.58254726517e-05,-1.74092930157e-05,-1.87039074898e-05,1.49843823064e-06,1.38479468547e-05,-2.9730006318e-06,2.97932891092e-05,8.40596143016e-05,7.23109344711e-06,-4.35255374928e-06,-2.9730006318e-06,0.00047530747512,0.03693524492,0.0256407445976,0.00325592014833,0.0305731657725,-0.0423785077233,0.046838943574,0.00161891027408,-0.000319184066426,0.000104434800024,6.84851682775e-06,3.45664002025e-05,9.23081550808e-07,-0.000319184066426,0.0014424927813,-3.62765733999e-05,-3.38500402023e-05,-7.08625893355e-06,-1.72543718113e-06,0.000104434800024,-3.62765733999e-05,9.33212996127e-05,1.74120379064e-06,4.34046746223e-07,2.59554414819e-07,6.84851682775e-06,-3.38500402023e-05,1.74120379064e-06,3.46606437815e-06,1.59690823956e-07,9.84292323002e-07,3.45664002025e-05,-7.08625893355e-06,4.34046746223e-07,1.59690823956e-07,3.31740569736e-06,2.18665027724e-07,9.23081550808e-07,-1.72543718113e-06,2.59554414819e-07,9.84292323002e-07,2.18665027724e-07,1.04847249943e-05
1618074010084984523,2282,1618074010068071589,/map,/base_link,0.186010078313,-0.00722305258813,0.0927009213715,-0.0448995497747,-0.0402581373911,-0.99582115319,0.0685823859514,10000.0077832,9.31211648753e-06,-0.00121539651814,1.61035954065e-05,4.64728487925e-05,2.95935797342e-05,9.31211648753e-06,10000.0073485,-0.000628970192372,-2.3070389324e-05,-1.7540730678e-05,8.40865070046e-05,-0.00121539651814,-0.000628970192372,10000.0015642,4.62701177223e-06,-1.87839491352e-05,7.27482965265e-06,1.61035954065e-05,-2.3070389324e-05,4.62701177223e-06,1.30567343038e-05,1.50261375791e-06,-4.36679335608e-06,4.64728487925e-05,-1.7540730678e-05,-1.87839491352e-05,1.50261375791e-06,1.39028938841e-05,-2.98048955417e-06,2.95935797342e-05,8.40865070046e-05,7.27482965265e-06,-4.36679335608e-06,-2.98048955417e-06,0.000475391850486,0.0364677943625,0.0229689762428,0.00236626190572,0.0384251672885,-0.0449961888803,0.0555646665558,0.00162974017746,-0.000321491643373,0.000104028871304,6.86033709754e-06,3.47801285563e-05,9.19590741479e-07,-0.000321491643373,0.00145314818275,-3.69587787273e-05,-3.40740957712e-05,-7.12060084742e-06,-1.74071050701e-06,0.000104028871304,-3.69587787273e-05,9.35466029803e-05,1.75999960608e-06,4.12685715461e-07,2.61585266405e-07,6.86033709754e-06,-3.40740957712e-05,1.75999960608e-06,3.47092488303e-06,1.59716228497e-07,9.84087383063e-07,3.47801285563e-05,-7.12060084742e-06,4.12685715461e-07,1.59716228497e-07,3.32224343946e-06,2.18981408965e-07,9.19590741479e-07,-1.74071050701e-06,2.61585266405e-07,9.84087383063e-07,2.18981408965e-07,1.0487049689e-05
1618074010084994665,2283,1618074010072935873,/map,/base_link,0.185971954447,-0.00742288887298,0.0928135267314,-0.0450019497172,-0.0403668390957,-0.99580426871,0.0686964427212,10000.0077943,1.63403610719e-05,-0.00121989134954,1.62354932641e-05,4.71231182409e-05,2.93924447049e-05,1.63403610719e-05,10000.0073736,-0.000636815590735,-2.36092303723e-05,-1.76725379619e-05,8.4114761844e-05,-0.00121989134954,-0.000636815590735,10000.0015655,4.64470039425e-06,-1.88639471101e-05,7.3187050205e-06,1.62354932641e-05,-2.36092303723e-05,4.64470039425e-06,1.31102622286e-05,1.50678256203e-06,-4.38097696451e-06,4.71231182409e-05,-1.76725379619e-05,-1.88639471101e-05,1.50678256203e-06,1.39578220325e-05,-2.98808087287e-06,2.93924447049e-05,8.4114761844e-05,7.3187050205e-06,-4.38097696451e-06,-2.98808087287e-06,0.000475475268452,0.0365659098398,0.0230367499918,0.0024093044754,0.0445341446234,-0.0432505353169,0.0529453197694,0.00164061638942,-0.000323798866777,0.000103638738176,6.87250377116e-06,3.49941140185e-05,9.161377829e-07,-0.000323798866777,0.00146383786756,-3.76877982774e-05,-3.4298211824e-05,-7.15452722851e-06,-1.75596943545e-06,0.000103638738176,-3.76877982774e-05,9.37766602102e-05,1.77993313608e-06,3.9173167293e-07,2.63615698904e-07,6.87250377116e-06,-3.4298211824e-05,1.77993313608e-06,3.47577275445e-06,1.59741801928e-07,9.83882584845e-07,3.49941140185e-05,-7.15452722851e-06,3.9173167293e-07,1.59741801928e-07,3.32706787598e-06,2.19300517206e-07,9.161377829e-07,-1.75596943545e-06,2.63615698904e-07,9.83882584845e-07,2.19300517206e-07,1.04893584769e-05
1618074010085004652,2284,1618074010077874936,/map,/base_link,0.185978676071,-0.0076226512224,0.0929240021288,-0.0450974834753,-0.0404744817708,-0.995787544545,0.0688127854259,10000.007803,1.41090643904e-05,-0.00122658816939,1.63700513357e-05,4.77881997487e-05,2.91880626185e-05,1.41090643904e-05,10000.0073769,-0.000631459356148,-2.41607873036e-05,-1.78070679873e-05,8.41454227768e-05,-0.00122658816939,-0.000631459356148,10000.0015411,4.66270229904e-06,-1.89453961291e-05,7.36324878019e-06,1.63700513357e-05,-2.41607873036e-05,4.66270229904e-06,1.31649190407e-05,1.51101948276e-06,-4.39536686895e-06,4.77881997487e-05,-1.78070679873e-05,-1.89453961291e-05,1.51101948276e-06,1.40139038785e-05,-2.99567259558e-06,2.91880626185e-05,8.41454227768e-05,7.36324878019e-06,-4.39536686895e-06,-2.99567259558e-06,0.000475565333276,0.0366755880942,0.0234174914492,0.00299976182698,0.0436612735368,-0.0397595518255,0.0529425550553,0.00165172732726,-0.000326153051448,0.000103259601081,6.88473020609e-06,3.52121354085e-05,9.12516795323e-07,-0.000326153051448,0.00147476863161,-3.84354294279e-05,-3.45265729436e-05,-7.18913383257e-06,-1.77143883329e-06,0.000103259601081,-3.84354294279e-05,9.4016536407e-05,1.80028813415e-06,3.70872749954e-07,2.65705253491e-07,6.88473020609e-06,-3.45265729436e-05,1.80028813415e-06,3.48069551828e-06,1.59767456675e-07,9.8367837094e-07,3.52121354085e-05,-7.18913383257e-06,3.70872749954e-07,1.59767456675e-07,3.33196655865e-06,2.19621947967e-07,9.12516795323e-07,-1.77143883329e-06,2.65705253491e-07,9.8367837094e-07,2.19621947967e-07,1.04917389248e-05
1618074010085010985,2285,1618074010082826301,/map,/base_link,0.186611357234,-0.0064364876008,0.0928620783098,-0.0452545040752,-0.0406615262525,-0.995765414799,0.0689195823704,10000.0078338,-2.42521894793e-05,-0.0012144633819,1.94322436694e-05,4.65158945684e-05,2.87722884673e-05,-2.42521894793e-05,10000.0073627,-0.000620907255575,-2.02961758435e-05,-2.08787682225e-05,8.38732752198e-05,-0.0012144633819,-0.000620907255575,10000.0015436,4.19225886425e-06,-1.87029136259e-05,7.44218613239e-06,1.94322436694e-05,-2.02961758435e-05,4.19225886425e-06,1.26943573187e-05,1.86424761723e-06,-4.3729938917e-06,4.65158945684e-05,-2.08787682225e-05,-1.87029136259e-05,1.86424761723e-06,1.38385753671e-05,-3.02768576685e-06,2.87722884673e-05,8.38732752198e-05,7.44218613239e-06,-4.3729938917e-06,-3.02768576685e-06,0.000475654038739,0.0346888052831,0.0228141014158,0.00257955562954,0.043709067814,-0.0406726719245,0.0468319749319,0.00161157342278,-0.000387241953626,0.000110471801031,8.36512785783e-06,3.41397822377e-05,8.47519379292e-07,-0.000387241953626,0.00141815206012,-3.04370662309e-05,-3.30505704181e-05,-8.69942328903e-06,-1.70273816507e-06,0.000110471801031,-3.04370662309e-05,9.30209116831e-05,1.60538408957e-06,5.38641938543e-07,2.68454426166e-07,8.36512785783e-06,-3.30505704181e-05,1.60538408957e-06,3.44304983654e-06,1.96923419962e-07,9.83044009066e-07,3.41397822377e-05,-8.69942328903e-06,5.38641938543e-07,1.96923419962e-07,3.30449981585e-06,2.20320222161e-07,8.47519379292e-07,-1.70273816507e-06,2.68454426166e-07,9.83044009066e-07,2.20320222161e-07,1.04941243589e-05
1618074010128830517,2286,1618074010087719715,/map,/base_link,0.186236469159,-0.00655724178605,0.0928696083044,-0.0453863316173,-0.0407860356861,-0.995746657634,0.0690302397918,10000.0078315,-1.30843950934e-05,-0.00121373563623,1.95926165145e-05,4.71669717487e-05,2.85659194526e-05,-1.30843950934e-05,10000.0073611,-0.000625495867446,-2.08117686165e-05,-2.1039516027e-05,8.39101929847e-05,-0.00121373563623,-0.000625495867446,10000.0015621,4.20879998846e-06,-1.8783206536e-05,7.48646128648e-06,1.95926165145e-05,-2.08117686165e-05,4.20879998846e-06,1.27471097386e-05,1.86951410609e-06,-4.38743061349e-06,4.71669717487e-05,-2.1039516027e-05,-1.8783206536e-05,1.86951410609e-06,1.38936695442e-05,-3.03517212623e-06,2.85659194526e-05,8.39101929847e-05,7.48646128648e-06,-4.38743061349e-06,-3.03517212623e-06,0.000475740414646,0.0330691817049,0.0215264267263,-0.00105644762227,0.0498166423988,-0.0555076665882,0.0511940727605,0.00162232549407,-0.000390041856334,0.000110061612265,8.38344840805e-06,3.43521274097e-05,8.43721674917e-07,-0.000390041856334,0.00142864508734,-3.11070771912e-05,-3.32723399812e-05,-8.73891058559e-06,-1.7182596528e-06,0.000110061612265,-3.11070771912e-05,9.32289721673e-05,1.62459797943e-06,5.16704102619e-07,2.70500017824e-07,8.38344840805e-06,-3.32723399812e-05,1.62459797943e-06,3.44792823092e-06,1.96947579477e-07,9.82847750066e-07,3.43521274097e-05,-8.73891058559e-06,5.16704102619e-07,1.96947579477e-07,3.30935436852e-06,2.20635910866e-07,8.43721674917e-07,-1.7182596528e-06,2.70500017824e-07,9.82847750066e-07,2.20635910866e-07,1.04964532866e-05
