%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1618074013423681472,0,1618074013423078142,,50.0,20.201120135,-1.38620334321,-0.238474813974,2.68123871007,1.53054755641
1618074013427925361,1,1618074013426414913,,50.0,20.6595636729,-1.45528756297,-0.325491258571,2.5526423187,1.18278907099
1618074013429662522,2,1618074013429323379,,50.0,19.9613020322,-2.29272223286,0.0680174881275,1.98540572917,1.66447096054
1618074013469901437,3,1618074013469472139,,50.0,20.3787555019,-2.14755952998,0.286876851478,2.43786590493,1.54573968708
1618074013471770618,4,1618074013471464134,,50.0,21.0133077576,-1.7582888579,-0.0179070154644,2.83353314063,1.15428513108
1618074013474348165,5,1618074013474095152,,50.0,21.4363296766,-1.83092900943,-0.366857446435,2.74924272042,1.02455285229
1618074013510175379,6,1618074013509970964,,50.0,20.9629140627,-2.51126615106,-0.36617277472,2.41580312166,1.77705783078
1618074013511372403,7,1618074013511211528,,50.0,21.1101407297,-2.49800711776,0.114693625569,2.46095502379,1.42961205502
1618074013512354852,8,1618074013512145735,,50.0,21.7427735261,-2.16006721058,-0.496369150033,2.85722860286,1.21287451257
1618074013554234403,9,1618074013553996772,,50.0,21.7616193409,-3.06552317403,-0.190153830884,2.3084245421,1.7048684964
1618074013555566499,10,1618074013555405326,,50.0,21.7852488656,-3.32826199088,-0.0586214796457,2.00307108683,1.7064917155
1618074013556930158,11,1618074013556780717,,50.0,22.5352951042,-3.25799891212,-0.538512138525,2.17864370234,1.27140082549
1618074013598571030,12,1618074013598356748,,50.0,22.343049921,-3.10994628319,-0.539068983115,2.62685725637,1.98064630219
1618074013599429421,13,1618074013599238498,,50.0,22.8878268597,-3.47406126199,-0.539233477422,2.4108358426,1.58977170921
1618074013600786888,14,1618074013600577970,,50.0,22.8155700385,-3.71784354764,-0.62698351012,2.19429922018,1.94091381644
1618074013641555982,15,1618074013641461803,,50.0,23.5148338558,-3.81787268063,-1.02452479243,2.39170602453,1.74368145513
1618074013642101609,16,1618074013642024281,,50.0,24.1459350551,-3.66228705157,-1.76858940146,2.26397972303,1.57228194705
1618074013642598113,17,1618074013642521385,,50.0,24.02350676,-3.38118944225,-1.11542187566,2.57286251927,1.61864695062
1618074013685435789,18,1618074013685368678,,50.0,24.4545052165,-3.714639722,-0.68363669049,2.54624606032,1.46040633152
1618074013686014437,19,1618074013685963109,,50.0,24.652891895,-3.51771008364,-0.946631723004,2.81237865072,1.41999747464
1618074013686371756,20,1618074013686310240,,50.0,24.4228639956,-3.70263023939,-0.554213387613,2.24682888175,1.29223756145
1618074013729301334,21,1618074013729215659,,50.0,23.3401976835,-4.11477508574,-0.911284547674,2.31166146345,1.57369972617
1618074013729692057,22,1618074013729624951,,50.0,23.3224633383,-3.62287756015,-0.868461600127,2.66400614134,1.61921010952
1618074013730148495,23,1618074013730068861,,50.0,23.1869082322,-3.78605103848,-2.09314370876,2.66889903624,1.92697023926
