%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1618066390580190417,0,1618066390580104562,,-15.0,-5.77189062169,19.5507318678,-8.90138102252,-4.61507397316,2.04177349651
1618066390580537515,1,1618066390580471532,,-15.0,-5.32678559246,19.2490249758,-9.2228551922,-4.91150639398,1.91299899239
1618066390624297527,2,1618066390624156580,,-15.0,-4.8990561456,21.028346666,-8.73991371326,-4.53869140165,1.97539154594
1618066390624511116,3,1618066390624440359,,-15.0,-4.50425178684,20.3090886612,-8.97387859174,-5.27497678973,1.89054502631
1618066390625068773,4,1618066390624955793,,-15.0,-4.35324839887,20.4438108455,-8.72732901785,-5.40081963554,1.76179671127
1618066390670184344,5,1618066390669779325,,-15.0,-4.17706067188,20.2651485541,-8.16016925568,-5.91015681863,2.35916019449
1618066390672791031,6,1618066390672435198,,-15.0,-4.2435453377,20.1433604564,-8.3500245775,-6.13084877038,2.66901574965
1618066390674895876,7,1618066390674526379,,-15.0,-4.17736692702,20.6396963028,-7.97150577511,-5.73745272088,2.67310352929
1618066390714416756,8,1618066390714006337,,-15.0,-3.71339803989,20.9938338469,-7.35364504017,-5.68996826959,3.13361362586
1618066390717606143,9,1618066390717218378,,-15.0,-3.42191547665,20.8906739014,-6.88556380681,-5.8643674367,2.91971287902
1618066390719917170,10,1618066390719482555,,-15.0,-3.56493351137,20.8757295473,-6.94163894331,-6.04091144289,3.27382819596
1618066390721721276,11,1618066390721407836,,-15.0,-2.78356956029,21.4418192439,-7.2156906438,-5.69086441954,2.97251311463
1618066390723958288,12,1618066390723631411,,-15.0,-3.23818639677,21.191630526,-6.14229446946,-6.26794046996,4.05057612367
1618066390726707105,13,1618066390726403123,,-15.0,-3.04571931178,21.1600770035,-6.10930450448,-6.27186166565,3.79466676736
1618066390728561913,14,1618066390728198151,,-15.0,-3.57378929475,21.2193193548,-4.76413159525,-6.40598925579,3.75631057118
1618066390760209434,15,1618066390760120656,,-15.0,-3.3598764831,20.9956141636,-4.90292928899,-6.67324907544,3.84898443483
1618066390760631945,16,1618066390760567910,,-15.0,-3.03740900781,21.6101687149,-5.47942477804,-6.28414332702,3.94202913965
1618066390807657899,17,1618066390807584226,,-15.0,-2.73451185049,21.5121212938,-4.2973570995,-6.39232235978,4.14444356966
1618066390807966156,18,1618066390807919060,,-15.0,-2.63284355499,21.6699371921,-4.52237698479,-6.61479615573,3.93126882599
1618066390808268041,19,1618066390808220175,,-15.0,-1.82527934567,22.2092461673,-4.74732597131,-6.35415054539,3.41113122037
1618066390852107842,20,1618066390852010468,,-15.0,-3.15064341898,20.6866496724,-1.44605519122,-6.82250371793,3.74503343749
1618066390852775804,21,1618066390852649907,,-15.0,-2.78005193894,20.8881799704,-2.05770941331,-7.00005202336,3.52946727065
1618066390853414749,22,1618066390853291028,,-15.0,-1.87161667851,20.7393681581,-2.75861094992,-7.39886031164,3.05246597916
1618066390898445951,23,1618066390898028639,,-15.0,-1.01168252002,19.7786988157,-0.615305510504,-6.15012426124,2.18554298889
1618066390900878149,24,1618066390900435376,,-15.0,-1.13993602343,19.633431408,-0.0870173019291,-6.14300359473,2.09798876745
1618066390902605774,25,1618066390902263850,,-15.0,-0.62599795767,19.3432208461,1.84309407842,-5.95509924082,0.784953223359
1618066390942622228,26,1618066390942280889,,-15.0,-0.339509778761,18.6576966569,3.09325012056,-4.98180652505,-0.0652011746792
1618066390945896771,27,1618066390945588904,,-15.0,-0.128507491338,18.819348554,3.28160430499,-4.47666600302,-0.725849486436
1618066390947389940,28,1618066390947081264,,-15.0,0.00606969782975,18.8474835837,3.29579144076,-4.36239370223,-0.907736290335
1618066390950187810,29,1618066390949856199,,-15.0,0.150296297811,18.7499538222,3.35403201254,-4.42191418221,-1.1783623529
1618066390952774714,30,1618066390952438359,,-15.0,-1.17622260169,17.2267079209,4.65232521159,-4.39647868626,-2.38122883292
1618066390954430717,31,1618066390953992787,,-15.0,-1.50304662266,17.764069997,5.71942182555,-3.44371919293,-2.56729350501
1618066390957770713,32,1618066390957490469,,-15.0,-0.850361196068,17.4809664623,6.00159360034,-3.4507110434,-2.75418491799
1618066390989825569,33,1618066390989608454,,-15.0,-0.777037190205,17.4419293267,6.15375372976,-3.14906738927,-2.81166886604
1618066390991135820,34,1618066390990846766,,-15.0,-1.69686050093,17.2156183043,7.22426321326,-3.19628617777,-2.82627188185
1618066391033229198,35,1618066391032859676,,-15.0,-0.913097587455,15.9134322755,6.89410991255,-3.26348137273,-4.07779001556
1618066391035200313,36,1618066391034808148,,-15.0,-0.951856811053,16.1302381698,5.95355420014,-2.74408881889,-3.00085878904
1618066391037565518,37,1618066391037317297,,-15.0,-1.75537466765,16.2075537297,5.84222989339,-2.39710476219,-2.66605530076
1618066391077781698,38,1618066391077494369,,-15.0,-0.668685235805,15.7790880233,5.00793411144,-2.11182522577,-3.28649866011
1618066391079319273,39,1618066391079015690,,-15.0,-0.280374166681,15.5077468664,4.5439481318,-1.93963031476,-3.6935440496
1618066391080214068,40,1618066391079964695,,-15.0,-1.38136795909,14.1785043136,4.6069758683,-2.45838916661,-2.91850570282
1618066391120999466,41,1618066391120783785,,-15.0,-1.84659421608,13.9574932122,5.11205919558,-2.14405836868,-3.1414503139
1618066391122814517,42,1618066391122609986,,-15.0,-1.19880667186,13.7505617335,5.78325364608,-1.97661893784,-3.28479067271
1618066391124603508,43,1618066391124357275,,-15.0,-1.58570674173,13.3626098791,5.27550839997,-2.07167511048,-2.64325611771
1618066391164914418,44,1618066391164649397,,-15.0,-3.35582542576,11.962919336,2.78434761885,-3.24383481632,-0.781229435608
1618066391166617173,45,1618066391166315836,,-15.0,-2.3433381056,12.468264038,1.13223298317,-2.7419148261,-1.61664241292
1618066391168543067,46,1618066391168281451,,-15.0,-2.8123886975,12.2052723785,0.962400806701,-3.20494284483,-1.27124437627
1618066391208947543,47,1618066391208639842,,-15.0,-3.93289854055,11.9895811017,0.992703107911,-3.52893210545,0.631995705742
1618066391210533214,48,1618066391210306767,,-15.0,-3.77340971725,11.8197660705,0.384757633246,-3.73818554013,1.06786532772
