%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1618067813998917660,0,1618067813998573952,,-5.05211737044,-20.0,17.1447689225,-0.330395078028,-0.647977660874,-0.369732794973
1618067814000872914,1,1618067814000568653,,-5.03797898169,-20.0,17.4610284809,-0.461394820631,-0.518154807239,-0.325970676891
1618067814041555066,2,1618067814041223141,,-5.24758075734,-20.0,17.5856155909,-0.50532713557,-0.787836206466,-0.3687413408
1618067814043281253,3,1618067814043050500,,-5.40321255281,-20.0,17.3863821187,-0.3744086759,-0.964234123768,-0.0628934450373
1618067814045275988,4,1618067814045021303,,-5.69548539569,-20.0,17.1886968919,-0.155971546391,-1.315687476,-0.149732695888
1618067814089963433,5,1618067814089477070,,-5.56194657521,-20.0,17.2359271916,-0.418607570177,-0.630345760016,-0.673679948457
1618067814091186375,6,1618067814090870033,,-5.41690849328,-20.0,17.647304939,-0.025799622806,-0.325819377738,-0.280655327051
1618067814092664099,7,1618067814092416677,,-5.60802789215,-20.0,17.3102617069,-0.069236487319,-0.763392129452,-1.06627449306
1618067814131504602,8,1618067814131408420,,-5.36116620024,-20.0,18.4895996934,0.149429062808,0.0162987018578,-0.934698999292
1618067814132331808,9,1618067814132230176,,-5.45955924875,-20.0,18.3680507271,-0.330740156385,-0.158626406276,-0.673140250821
1618067814133107795,10,1618067814133029562,,-5.62444806443,-20.0,17.9302178268,-0.112541287462,-0.5083962972,-1.37171158816
1618067814171365134,11,1618067814171295828,,-5.63541548242,-20.0,18.2953907951,-0.374634044914,-0.203625696059,-0.149783135326
1618067814171752577,12,1618067814171699508,,-5.896716019,-20.0,18.0621832115,-0.330974274275,-0.379138008757,-0.0620944433751
1618067814215189126,13,1618067814215113177,,-5.3661141976,-20.0,18.8256838717,-0.856434251399,0.0117254557807,-0.717561669453
1618067814215715161,14,1618067814215651639,,-5.49786443664,-20.0,19.0728580925,-0.682400425387,0.0990413881914,-0.281538918311
1618067814216226499,15,1618067814216163681,,-5.99558632302,-20.0,16.6349725453,-0.200044498032,-0.598660696299,-0.324797953053
1618067814259150088,16,1618067814259072069,,-5.40184204041,-20.0,16.3085138741,0.150831747087,0.445285417912,-0.448792555186
1618067814259923829,17,1618067814259833014,,-5.0171066086,-20.0,15.644188932,0.326203093387,0.138722298878,-0.0534516870608
1618067814260342394,18,1618067814260278689,,-5.0577592553,-20.0,15.4081067415,-0.240482143223,-0.168117331175,-0.0510947333319
1618067814305288997,19,1618067814304971036,,-5.08446372293,-20.0,14.6421677612,0.985378974894,0.134098648033,-0.0881860744858
1618067814308275090,20,1618067814307970133,,-5.08305164167,-20.0,14.2405734922,-0.0616402793395,-0.346774214803,-0.0444755312052
