Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615136670.104068219,0.854609,3.5309,-0.903343,0.0779341,0.0740935,0.981177,-0.160398,-0.00161999,0.00661371,-0.00115726,0.000717132,0.00588224,-0.0107869
1615136670.108996367,0.854537,3.53092,-0.903392,0.0779462,0.07409,0.981181,-0.160372,-0.00239615,0.00521548,-0.00333554,-0.00190291,-0.00458988,-0.00293677
1615136670.113868607,0.854606,3.53063,-0.903042,0.0779608,0.074079,0.981185,-0.160343,-0.00218227,0.00835086,-0.00333527,-0.00713618,-0.00633513,-0.0151533
1615136670.118815272,0.854791,3.53076,-0.90326,0.0779519,0.0740986,0.981186,-0.160334,-0.00153293,0.00755247,-0.0016844,0.00595488,0.000646444,-0.0168903
1615136670.126188683,0.854644,3.53064,-0.903219,0.0779721,0.0741062,0.981183,-0.160337,-0.00337856,0.00735313,-0.00423764,-0.00102615,-0.00720708,-0.0125189
1615136670.128622179,0.854517,3.53086,-0.903651,0.0779711,0.0741099,0.981177,-0.160377,-0.00305815,0.00792987,-0.00344701,-0.0018969,-0.00284319,-0.015126
1615136670.133569541,0.854732,3.53069,-0.903438,0.0779841,0.0741421,0.981166,-0.160422,-0.00324667,0.00543632,-0.00489348,0.00944761,-0.00895121,-0.00725811
1615136670.138424382,0.854549,3.53062,-0.903323,0.0779917,0.074167,0.981164,-0.160417,-0.00269871,0.00881905,-0.00415599,0.00596138,-0.00720535,-0.0229574
1615136670.143328556,0.854777,3.53048,-0.903161,0.0779864,0.0742155,0.981161,-0.160414,-0.00214111,0.00620244,-0.0030568,0.0173057,-0.00284165,-0.0168398
1615136670.148221963,0.854774,3.5305,-0.903281,0.0780028,0.0742311,0.98116,-0.160406,-0.0024975,0.00654119,-0.00395702,0.00334273,-0.00895006,-0.0124752
1615136670.153115346,0.85475,3.53049,-0.903339,0.0780246,0.0742442,0.981163,-0.160373,-0.00290013,0.00651376,-0.00428342,0.00247051,-0.0106954,-0.01422
1615136670.158021575,0.854756,3.53034,-0.903226,0.0780306,0.0742395,0.981166,-0.160355,-0.00187173,0.00304867,-0.00221661,-0.00189588,-0.00196887,-0.00113369
1615136670.162934213,0.854791,3.53046,-0.903333,0.07803,0.0742393,0.981171,-0.160323,-0.00166172,0.00231286,-0.00210658,0.000721519,0.00064883,-0.00201099
1615136670.167860337,0.85465,3.53038,-0.903371,0.0780304,0.0742106,0.981186,-0.160243,-0.00149756,0.00568709,-0.00168754,-0.0114943,0.00152106,-0.0151112
1615136670.172751845,0.854946,3.5303,-0.903313,0.0780589,0.0741804,0.981204,-0.160136,-0.00208154,0.00689608,-0.00420885,-0.0141127,-0.00982412,-0.0203576
1615136670.177690999,0.854504,3.53046,-0.903569,0.07808,0.0741623,0.981219,-0.160039,-0.00168838,0.00531105,-0.00427257,-0.00800677,-0.00720669,-0.0151311
1615136670.182552029,0.855072,3.5302,-0.903187,0.0780898,0.074182,0.981233,-0.159939,-0.00109166,0.00507079,-0.00437777,0.00770033,-0.00546188,-0.018629
