Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615136670.140119075,-1.0827,-4.7666,11.634,-0.320373,-0.169981,0.518096
1615136670.141823053,-0.934212,-4.88029,12.1308,0.334523,0.310116,0.301243
1615136670.142952919,-1.32131,-5.02955,11.4097,-0.712732,-0.388464,0.956897
1615136670.152434110,-1.27879,-4.89938,11.5685,-0.0579467,-0.257865,0.47803
1615136670.154268980,-1.08727,-4.54781,12.1297,0.0731339,0.265873,0.0857274
1615136670.196201086,-1.01623,-5.46268,12.3329,-0.320617,0.397617,1.08629
1615136670.197668075,-1.14846,-4.81971,12.011,-0.888129,0.179485,0.780402
1615136670.199140071,-1.05807,-4.9027,12.2713,-0.190053,0.485188,0.562201
1615136670.244108915,-1.86255,-4.84494,11.7143,-0.0136268,-0.562111,0.745097
1615136670.245397090,-1.37835,-4.94326,12.7855,0.117465,0.354283,0.745911
1615136670.246964931,-1.33435,-4.25997,12.776,0.0740123,0.572781,0.222569
1615136670.292081117,-1.55926,-4.25516,12.389,-0.103803,0.75016,0.219328
1615136670.293746948,-1.72477,-4.58362,11.8646,0.0705918,0.313982,0.437006
1615136670.294814109,-1.51433,-4.52657,12.379,0.376089,0.576126,0.305857
1615136670.296204090,-2.04109,-4.71541,11.6529,-0.0603103,-0.253227,0.785963
1615136670.297655105,-1.59366,-4.39818,12.3467,0.071507,0.316101,-0.126011
1615136670.299060106,-1.44755,-4.3328,12.7122,-0.495862,0.62193,0.0922745
1615136670.299973964,-1.78889,-4.07987,11.9424,-0.583251,0.0110755,-0.169624
1615136670.336412906,-1.4947,-4.32688,12.507,-0.321618,0.535065,-0.12626
1615136670.338279008,-1.5372,-4.65713,12.3834,0.289246,0.491787,-0.213883
1615136670.381032943,-1.70238,-4.86524,12.2215,0.420025,0.188535,-0.0854581
1615136670.382719039,-1.34379,-4.35032,12.6756,-0.0161546,0.756329,-0.52159
1615136670.384391069,-1.5285,-4.37687,12.4694,0.333128,0.407555,-0.608366
