Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615137528.145342111,7.24355,-1.39101,16.3024,-0.0626239,0.233746,0.340309
1615137528.147181034,7.32966,-0.644473,16.3493,-0.0625419,0.321156,-0.314441
1615137528.149142026,7.32314,-0.992308,16.2583,-0.150088,0.277611,-0.00964651
1615137528.180308103,7.14067,-0.997377,15.8114,-0.19406,-0.0280951,-0.0107118
1615137528.181512117,7.30123,-1.39842,16.3064,-0.0198832,0.408565,0.293581
1615137528.223925113,7.23858,-0.594952,15.9804,-0.239336,0.193453,-0.669496
1615137528.224910020,7.0713,-1.45283,15.5391,-0.108256,-0.200019,0.161105
1615137528.225872993,7.45721,-1.74823,16.2715,0.547097,0.541535,0.250767
1615137528.267995119,6.70926,-0.54088,15.8089,-0.15317,0.541685,-0.0542937
1615137528.268980026,6.78699,0.16016,16.1614,0.108588,0.848559,-1.01588
1615137528.269804000,6.54636,-0.209651,15.7466,-0.109825,0.500089,-0.623962
1615137528.312045097,7.10925,-1.26027,16.657,-0.0634334,1.59826,-0.175581
1615137528.312992095,6.83099,-1.10072,16.3909,-0.718555,1.16341,0.0418052
1615137528.313905954,6.61822,-1.45881,16.0404,-0.369995,0.771574,0.302768
1615137528.356333017,6.99333,-1.40719,16.0912,-0.152894,1.03914,0.427694
1615137528.358089923,6.45524,-0.0603186,15.3413,-0.0664257,0.165537,-0.400656
1615137528.360606908,6.70238,-0.645115,15.7415,0.0210157,0.514597,0.124058
1615137528.368567943,7.00315,-1.72873,15.8675,0.195944,0.68904,0.736881
1615137528.370374917,6.76896,-0.629412,16.0621,0.196561,0.951384,0.171277
1615137528.417162895,6.94734,-0.638068,15.8731,-0.0205668,0.823512,0.132735
1615137528.419266939,7.21689,-0.687824,16.3913,0.459593,1.21768,0.00154128
1615137528.420856952,6.8298,-0.479946,15.4211,0.0668539,0.126729,-0.217365
1615137528.456897020,6.91873,-0.933527,15.3332,-0.501703,-0.0912546,0.431138
1615137528.458532094,6.83448,-1.0663,15.5784,0.545602,0.0393353,0.25576
1615137528.460314989,7.24629,-1.72384,15.9615,-0.065591,0.257318,0.691297
1615137528.500221014,6.8834,-1.05568,15.9479,0.372699,-0.00856696,-0.309003
1615137528.502063989,6.98663,-1.58087,16.1855,0.373358,0.296271,0.0857985
1615137528.503573894,6.58668,-0.581141,16.285,0.285242,0.251138,-0.304386
1615137528.544018983,6.34101,-1.47059,16.597,0.638093,-0.061681,0.404045
1615137528.544929981,6.44617,-0.946434,16.8139,-0.147345,0.025078,0.185709
1615137528.545630931,6.42804,0.0423765,16.656,-0.103768,-0.193451,-0.644372
1615137528.587980985,6.24653,-0.6037,16.4558,-0.104473,-0.548409,-0.127602
1615137528.588830947,6.13831,-0.988917,16.229,-0.148214,-0.724666,0.265281
1615137528.589454889,6.14219,-0.820295,16.5739,0.0701451,-0.507859,0.0475102
1615137528.632205963,5.99543,-0.532915,16.7888,0.0701485,0.055563,-0.127635
1615137528.633867979,5.77187,0.169355,16.5534,-0.934124,-0.250384,-0.259835
1615137528.635631084,6.25031,-0.0304728,17.6196,-0.367389,0.579451,-0.261107
1615137528.676152944,5.79834,-0.425896,17.0179,-0.28005,-0.122224,-0.129443
1615137528.677164077,6.19459,-0.565772,17.4688,-0.0199161,0.316278,0.0472515
1615137528.678164005,5.96904,-0.694362,17.3138,-0.0196088,0.0974171,0.179552
1615137528.719883918,6.10654,0.148671,17.8971,0.240128,0.795691,-0.392338
1615137528.720593929,6.05421,0.0263411,17.8866,0.0655834,0.752835,-0.218016
1615137528.721110105,5.82101,-0.346648,17.4554,-0.239868,0.272572,0.219129
1615137528.764693975,5.3484,0.723167,16.7422,-0.456828,0.0562442,-0.516563
1615137528.767221927,5.28818,0.696341,16.9101,-0.500952,0.143572,-0.34296
1615137528.769748926,5.26476,0.339456,16.8576,0.0223975,0.143613,-0.169433
1615137528.808214902,5.6457,0.0778384,17.6712,0.851495,0.887882,0.00345733
1615137528.809447050,6.56522,0.571727,16.8822,0.503435,0.674803,-0.388701
1615137528.810390949,6.1063,0.61619,16.5286,0.241953,0.412884,0.0486498
1615137528.851948022,5.66955,0.875998,16.3951,-0.412808,0.417119,-0.0380073
1615137528.852848052,5.74815,0.382015,16.5393,0.110615,0.548283,0.179616
1615137528.853517055,5.92815,0.471975,17.0287,-0.0639207,0.941788,0.267152
1615137528.896682024,5.94203,0.744846,17.2502,0.416865,1.08093,0.0918096
1615137528.899565935,5.71933,0.55656,16.6859,0.897506,0.601178,0.0489309
1615137528.901446104,5.62434,0.756537,16.6455,0.243299,0.601318,0.224161
1615137528.944057941,7.00849,0.61662,18.1162,0.420974,1.35862,0.437807
1615137528.944801092,6.80243,0.569627,17.5731,-0.0150897,0.966301,0.657528
1615137528.945300102,6.74878,0.42895,17.4634,0.509242,0.879156,0.616074
1615137528.991993904,6.41472,0.914275,16.9989,0.0766107,0.312958,0.40588
1615137528.992626905,6.5275,2.01759,17.2002,0.0766089,0.40085,-0.599055
1615137528.993029117,6.15896,2.16023,16.6327,0.556586,-0.21033,-0.513277
1615137529.28091907,6.92513,0.855565,17.7839,1.03668,0.750542,0.139882
1615137529.28779983,6.65053,1.44046,17.3943,0.862293,0.489391,0.00725044
1615137529.29242038,6.67337,1.59887,17.3813,0.687769,0.446334,0.0491142
1615137529.29776096,6.94314,1.14096,17.4241,-0.31859,0.232746,0.219499
1615137529.30174016,6.66458,1.73249,16.7695,-0.318689,-0.379104,-0.304439
1615137529.30582904,6.69412,2.47935,16.7227,-0.318672,-0.379863,-1.09023
1615137529.72086095,7.04579,1.21922,17.1292,0.466999,0.0558592,-0.173068
1615137529.72662115,7.15475,1.3529,17.111,0.423886,-0.0320885,-0.434157
1615137529.115978956,7.03621,0.897041,16.9364,0.601942,-0.518812,-0.164777
1615137529.116832017,7.25892,1.27878,17.2971,0.558976,-0.214372,-0.512947
1615137529.117460012,7.3138,0.6619,17.3266,0.515721,-0.259136,-0.0322572
1615137529.160665988,7.94472,0.934543,17.5399,-0.925487,-0.0888849,-0.384345
1615137529.162456035,7.98683,1.32816,17.6108,-1.01313,-0.133114,-0.645885
1615137529.164232015,7.94529,1.09751,17.9528,-1.18814,0.0409259,-0.427017
1615137529.204099893,8.11126,0.942483,17.2875,-0.100752,-0.576115,-0.337053
1615137529.205207109,8.00754,0.760505,17.5065,-0.406689,-0.44601,-0.207535
1615137529.206290960,7.81695,0.498275,17.7608,-0.276103,-0.315805,-0.252093
1615137529.248126029,7.9965,0.642211,17.69,-1.10802,0.20429,-0.425663
1615137529.249392032,7.89937,-0.350932,17.5488,-0.890468,0.116674,0.185305
1615137529.250538110,8.02197,0.4286,17.8926,-0.847321,0.335295,-0.601109
1615137529.292344093,7.75495,0.439376,17.2543,-0.588402,0.116803,-1.08356
1615137529.293898105,7.92221,-0.731881,17.6122,-1.06907,0.37848,0.226113
1615137529.295137882,7.70927,-0.00623543,17.5592,-1.11319,0.335041,-0.384912
1615137529.336011886,8.09836,0.194792,17.6043,-0.465797,1.04391,-0.610113
1615137529.337085008,7.95097,-0.632329,17.3648,-0.509667,0.782672,0.220233
1615137529.337770938,7.93121,-1.27172,16.9292,-0.0729617,0.389564,0.352969
1615137529.384002923,8.0428,-0.354366,16.994,-1.20959,1.00501,-0.43053
