Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615139033.115207986,-0.0543947,1.49516,-0.747694,0.104081,-0.00166711,0.564226,0.819032,-0.0130439,-0.00118746,-0.00980205,0.00640415,0.00307409,0.00588898
1615139033.120159803,-0.0542565,1.49513,-0.747852,0.104068,-0.00164545,0.564181,0.819064,-0.0124651,-0.000444822,-0.00811536,0.00291195,0.0126711,0.00151386
1615139033.125047363,-0.0540507,1.49491,-0.747525,0.104046,-0.00163388,0.564106,0.819119,-0.0118433,0.00232139,-0.00800543,-0.00232581,0.0117953,-0.00548319
1615139033.129935168,-0.0543534,1.49491,-0.74766,0.104001,-0.0016172,0.564051,0.819163,-0.00916828,0.0013652,-0.00620028,-0.00843947,0.0196462,0.00322774
1615139033.134848668,-0.0541817,1.49475,-0.74749,0.103945,-0.00159876,0.564004,0.819202,-0.00890093,0.00351396,-0.00585742,-0.0128041,0.0213893,-0.00201956
1615139033.139798871,-0.0544939,1.49525,-0.748344,0.103921,-0.00158764,0.563975,0.819226,-0.010664,0.00217168,-0.00814283,-0.00407969,0.0109158,0.000592947
1615139033.144705995,-0.0544586,1.49498,-0.748033,0.103895,-0.001593,0.563948,0.819247,-0.0123679,0.00318037,-0.00848161,-0.00844473,0.00567846,0.00145809
1615139033.149581859,-0.0544415,1.4948,-0.747923,0.103888,-0.00157916,0.563931,0.81926,-0.0126547,0.00293115,-0.00756314,0.00115507,0.00655064,-0.00377836
1615139033.154415517,-0.0544851,1.49467,-0.747769,0.103897,-0.00155327,0.563937,0.819254,-0.0118412,0.00235763,-0.00748708,0.00813755,0.00567863,-0.00551886
1615139033.159404314,-0.0545317,1.49459,-0.747849,0.103913,-0.00155745,0.563967,0.819232,-0.0123053,0.00269875,-0.00961525,0.00290242,-0.0065373,-0.0011492
1615139033.164253578,-0.0546227,1.49481,-0.748294,0.103909,-0.00155869,0.564007,0.819205,-0.0117518,0.00504296,-0.00838772,-0.00407539,-0.00217195,-0.00550265
1615139033.169170926,-0.054641,1.49459,-0.747954,0.103924,-0.00155319,0.564049,0.819174,-0.0122265,0.00548226,-0.00803403,0.00378181,-0.00478771,-0.00723374
1615139033.174068698,-0.0545745,1.49464,-0.748254,0.103957,-0.00153112,0.564119,0.819122,-0.0118641,0.000983332,-0.00703637,0.015125,-0.00129518,0.011105
1615139033.179027268,-0.0547307,1.49456,-0.748201,0.103976,-0.00148953,0.564168,0.819086,-0.0116509,0.00194191,-0.00517288,0.0151269,0.00917797,0.00849329
1615139033.183868768,-0.0546352,1.49452,-0.7482,0.103996,-0.00144995,0.564185,0.819071,-0.0121142,0.00262355,-0.00555447,0.0160016,0.00830582,0.00151484
1615139033.188800388,-0.0546147,1.4944,-0.748177,0.104008,-0.00141655,0.56417,0.81908,-0.0115283,0.00479698,-0.00509704,0.0116394,0.00830557,-0.00546862
1615139033.193696344,-0.0548329,1.49453,-0.748375,0.104009,-0.0014102,0.564148,0.819095,-0.0112896,0.00480017,-0.00574371,0.00291041,0.00306853,0.000632982
1615139033.198606245,-0.0548907,1.49436,-0.748216,0.104007,-0.00140669,0.564126,0.819111,-0.010585,0.00320328,-0.00575374,0.00203476,0.00393957,0.00673351
1615139033.203410998,-0.0549642,1.49415,-0.748094,0.104026,-0.00140012,0.56407,0.819147,-0.0112599,0.0055291,-0.00673737,0.0098888,-0.000425883,-0.00461981
1615139033.208440829,-0.0548275,1.49431,-0.748302,0.104043,-0.00140828,0.564019,0.81918,-0.0118773,0.00376353,-0.00715883,0.00639306,-0.00304674,0.00583794
1615139033.213292603,-0.0551431,1.49432,-0.748449,0.104036,-0.00143099,0.563955,0.819224,-0.0119971,0.00430348,-0.00603342,-0.00408245,-0.00217756,0.00581966
1615139033.218168223,-0.0550259,1.49413,-0.748275,0.104043,-0.00144316,0.563891,0.819268,-0.0117993,0.00255379,-0.00622208,0.00289497,-0.00130855,0.006677
1615139033.223092767,-0.0552279,1.49422,-0.748431,0.104047,-0.00149428,0.563828,0.819311,-0.0127761,0.00292748,-0.00947264,-0.0067087,-0.0135296,0.00927598
1615139033.228063392,-0.054617,1.494,-0.748276,0.104087,-0.00152291,0.563742,0.819365,-0.0131022,0.00326437,-0.00929626,-0.00407077,-0.0126637,0.00663591
1615139033.232933968,-0.054729,1.49396,-0.748418,0.104073,-0.0015532,0.563642,0.819435,-0.0122112,0.00654325,-0.00744205,-0.00843604,-0.00306869,-0.00472921
1615139033.237833814,-0.0549892,1.49404,-0.748565,0.104066,-0.00158078,0.563538,0.819508,-0.0122104,0.00757868,-0.00783079,-0.00582171,-0.00394556,-0.00736578
1615139033.242711275,-0.0550213,1.49404,-0.74864,0.104087,-0.00160333,0.563466,0.819555,-0.0125284,0.00377078,-0.00850435,0.00551659,-0.00831268,0.00483648
1615139033.247630308,-0.0550229,1.49394,-0.748575,0.104114,-0.0015722,0.563437,0.819571,-0.0106074,-0.000447803,-0.00503408,0.0203456,0.00913735,0.0187871
1615139033.252527295,-0.0551317,1.49402,-0.748784,0.104132,-0.00158222,0.563393,0.819599,-0.0117733,0.00260954,-0.00795122,0.00725353,-0.00308319,0.0126609
1615139033.257449320,-0.0553284,1.49401,-0.748864,0.104146,-0.00158584,0.563367,0.819615,-0.0112969,0.000952738,-0.00644464,0.00812123,0.000404288,0.0205004
1615139033.262323043,-0.0554287,1.49376,-0.74859,0.104139,-0.00160215,0.563314,0.819652,-0.0114875,0.0061832,-0.00615881,-0.00322338,-0.00047132,0.00477662
1615139033.267241446,-0.0553099,1.49387,-0.748798,0.104158,-0.00162019,0.563279,0.819674,-0.0117724,0.00507755,-0.00769621,0.00462758,-0.00745487,0.00738577
1615139033.272180544,-0.0556437,1.49385,-0.748887,0.104171,-0.00164268,0.563264,0.819682,-0.0117539,0.00482843,-0.00790651,0.00113494,-0.00832894,0.00912371
1615139033.277103312,-0.0555847,1.49394,-0.749109,0.104186,-0.00166163,0.563271,0.819676,-0.011485,0.00396501,-0.00761977,0.00200655,-0.00832952,0.0108664
