Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615138971.140208959,2.94693,-0.369578,14.0996,0.259376,1.73405,-0.0511384
1615138971.141438007,2.79789,-0.473267,13.6176,0.392486,1.29728,-0.13845
1615138971.142405033,3.13694,-0.443536,14.3959,-0.523602,1.91069,0.342469
1615138971.144542932,2.92483,-0.183399,13.6902,-0.391828,1.34441,0.0383219
1615138971.145926952,2.99722,-0.583471,13.7386,0.0897513,1.34515,0.127485
1615138971.188200950,3.19443,-0.482438,13.6186,-0.122134,1.13406,-0.0803307
1615138971.189475059,3.3617,-0.757323,13.6312,0.359995,1.1346,0.0536752
1615138971.190354108,3.41935,-0.0750756,13.7395,0.100069,1.26666,-0.554577
1615138971.232314109,3.86195,0.653131,14.6942,-0.993282,1.97708,-0.0153419
1615138971.233733892,3.88351,0.122986,14.715,-0.250723,1.9361,-0.0136715
1615138971.234991073,3.4361,-0.0435078,13.5136,-0.29338,0.976065,0.206025
1615138971.276400089,4.14218,-0.472998,13.8427,-0.464112,1.15814,0.254632
1615138971.277741909,4.46301,-0.600907,14.565,-0.726126,1.7708,0.647441
1615138971.278837919,4.30049,-1.01555,14.2584,-0.201658,1.42189,0.691027
1615138971.320337057,4.6213,-0.262405,14.6071,-0.5907,1.3679,-0.280334
1615138971.321635007,4.71198,-0.610804,14.661,-0.634159,1.45512,-0.0207176
1615138971.322695970,4.79366,-1.0447,14.5647,-0.328039,1.36724,0.195327
1615138971.364358901,5.01851,-1.62131,14.1417,-0.233069,1.22458,0.52849
1615138971.365727901,5.0633,-1.16948,14.0098,-0.319498,1.22377,0.133971
1615138971.367039918,4.97934,-0.179599,13.8867,-0.0996425,1.00388,-1.003
1615138971.408463954,4.64431,-0.254772,12.9117,-0.194592,0.602819,0.0795907
1615138971.409872055,4.86645,-0.48812,12.9558,0.0687955,0.862786,0.122295
1615138971.410913944,5.17397,0.242833,13.4107,0.0268156,1.16722,-0.577394
1615138971.452224969,5.60373,-1.84183,12.5745,0.605375,0.585655,1.20557
1615138971.453397035,5.97823,-0.55512,13.0493,-0.35394,1.1961,0.462754
1615138971.454875946,5.79642,-0.130854,12.7614,-0.0033046,0.845317,-0.105474
1615138971.497819900,5.8578,-0.0640278,11.8892,-0.827041,0.395377,0.366918
1615138971.500293016,5.91651,-0.580884,11.9158,0.0907549,0.567132,0.452837
1615138971.502413034,6.07343,-1.17986,12.3538,-0.257717,0.871108,1.19388
1615138971.544267892,5.98746,0.448838,12.5195,0.263626,1.07694,0.660077
1615138971.545269012,5.73851,0.670624,11.9078,-0.215413,0.594256,0.657678
1615138971.546214103,5.84549,0.729175,12.1013,-0.433114,0.810653,0.699332
1615138971.588068008,6.48026,0.68462,12.3473,-0.384122,1.33005,0.604138
1615138971.588988065,6.14448,0.192187,12.1392,-0.252698,1.15502,0.865296
1615138971.589680910,6.05755,-0.111524,12.5068,-0.601907,1.4612,1.21408
1615138971.632531881,6.42267,0.393767,12.462,-0.247768,1.68031,0.595492
1615138971.634680986,6.33281,-0.354169,12.3275,-0.247536,1.41831,1.3357
1615138971.636941909,6.20204,0.137351,11.6675,0.146616,0.936356,0.722807
1615138971.676213026,5.98421,1.20925,11.8911,-0.729533,1.14949,0.626466
1615138971.676935911,6.07903,0.560019,11.8878,0.0131449,1.4111,0.843699
1615138971.677514076,6.52041,1.07835,12.3212,-0.248285,2.19867,0.449622
1615138971.684165954,6.5315,0.809542,12.0992,-0.335382,1.98222,0.622938
1615138971.684969902,6.41981,0.445809,11.6556,0.102056,1.50227,0.621936
1615138971.728034973,6.73052,0.435824,11.747,-0.072106,1.63771,0.6189
1615138971.728663921,6.72016,0.914972,11.6626,-0.158568,1.76992,0.138437
1615138971.729176998,7.01241,0.263376,12.2389,-0.0271678,2.47107,0.530751
1615138971.772197008,7.13571,0.770937,12.4932,-0.505627,2.43862,0.133043
1615138971.772974967,7.01777,1.07405,11.8422,-0.723994,1.96086,-0.217078
1615138971.773593902,5.95616,1.7494,11.4009,-0.642419,1.16792,-0.259186
