Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615139363.216149432,-2.24704,1.70694,-0.672599,0.0775227,0.0181486,0.661281,0.745901,-0.0181169,0.0170154,0.010935,0.0116615,-0.0145712,0.00312194
1615139363.221111309,-2.24704,1.70673,-0.67229,0.0775347,0.0181217,0.661266,0.745914,-0.0182324,0.0193281,0.0118057,-0.00317345,-0.0110809,-0.00124688
1615139363.225985881,-2.24691,1.70655,-0.672171,0.0775414,0.0181232,0.661281,0.7459,-0.0171131,0.016983,0.0141036,0.00293297,-0.000608929,0.00922588
1615139363.230831418,-2.2473,1.7066,-0.672279,0.0775269,0.0181031,0.661272,0.74591,-0.0175134,0.0195628,0.0140386,-0.0092838,-0.00148203,0.00311119
1615139363.235838068,-2.2452,1.70558,-0.67482,0.077563,0.0181443,0.661243,0.74593,-0.0173836,0.0178413,0.0129719,0.00732296,0.000270307,-0.00562148
1615139363.240745354,-2.24514,1.70552,-0.674819,0.0775707,0.018172,0.661237,0.745935,-0.0167294,0.0173345,0.0143506,0.00994009,0.00637886,-0.0021311
1615139363.245621828,-2.24549,1.70559,-0.67499,0.0775887,0.0181634,0.661241,0.745929,-0.0180207,0.016421,0.0113571,0.00382914,-0.00671135,0.00746501
1615139363.250484824,-2.24539,1.70533,-0.674746,0.0776436,0.018184,0.661239,0.745925,-0.0181414,0.0176293,0.0108433,0.022158,-0.00932908,-0.00474634
1615139363.255473004,-2.24567,1.70523,-0.674664,0.0776897,0.0182016,0.661264,0.745898,-0.017982,0.0151943,0.0113373,0.0186649,-0.0067108,0.00921805
1615139363.260308660,-2.24548,1.70511,-0.674544,0.0777508,0.0181942,0.661287,0.745871,-0.0195333,0.0157202,0.00899639,0.0169202,-0.0189278,0.00834803
1615139363.265216367,-2.24571,1.70492,-0.674361,0.0778195,0.0181865,0.661307,0.745846,-0.0202336,0.017736,0.00882861,0.0177967,-0.0224175,-0.003861
1615139363.270158814,-2.24567,1.70517,-0.674675,0.0778819,0.0182179,0.661327,0.745821,-0.0184763,0.0161634,0.0121888,0.0265243,-0.00845415,-0.0029798
1615139363.275027184,-2.24588,1.70495,-0.674474,0.07795,0.0182293,0.66136,0.745784,-0.0195882,0.0167141,0.0106251,0.0230344,-0.0163072,0.000519075
1615139363.279949440,-2.24578,1.7049,-0.674477,0.0779875,0.0182438,0.661416,0.74573,-0.0192358,0.0164179,0.0123015,0.0143081,-0.00670672,0.0075095
1615139363.284900946,-2.24599,1.70474,-0.674369,0.0780441,0.0182695,0.661459,0.745686,-0.0195904,0.0160736,0.0111986,0.0230371,-0.00845106,0.00402992
1615139363.289765319,-2.24608,1.7047,-0.674246,0.0781021,0.0182853,0.66147,0.74567,-0.0195456,0.0172781,0.0104232,0.022165,-0.0110688,0.00315908
1615139363.294652820,-2.24591,1.70444,-0.67395,0.0781279,0.018283,0.661453,0.745682,-0.0187836,0.0183739,0.0111625,0.00820136,-0.00670616,0.00315104
1615139363.299581197,-2.24647,1.70465,-0.674418,0.0781609,0.0182871,0.661408,0.745719,-0.0189249,0.0164552,0.0112925,0.013434,-0.00496271,0.0066293
1615139363.304508449,-2.24617,1.70433,-0.674004,0.0782105,0.0182835,0.661362,0.745754,-0.0195452,0.013703,0.00975968,0.0169206,-0.0110736,0.0118503
1615139363.309391922,-2.24627,1.70423,-0.673982,0.0782577,0.0182818,0.661312,0.745793,-0.0198969,0.0156382,0.00906027,0.0160474,-0.0110754,0.00311071
1615139363.314265561,-2.24654,1.70411,-0.673911,0.0782865,0.0182515,0.661288,0.745813,-0.021142,0.015669,0.00779075,0.00208254,-0.0154398,0.0065903
1615139363.319184393,-2.24651,1.70424,-0.674199,0.0782854,0.0182378,0.66132,0.745784,-0.020428,0.0129084,0.0105247,-0.00315624,-0.00234988,0.0196785
1615139363.324068319,-2.24672,1.70411,-0.674021,0.078278,0.0182304,0.66138,0.745733,-0.0202907,0.0145181,0.0105246,-0.00489863,-0.000603609,0.0127057
1615139363.329045272,-2.24686,1.70383,-0.673843,0.0783017,0.0182079,0.661461,0.745658,-0.0215954,0.0150517,0.00781915,-0.000532033,-0.0145647,0.0101047
1615139363.333879238,-2.24672,1.70375,-0.673785,0.0782786,0.0181941,0.661597,0.74554,-0.0199879,0.0130271,0.0108189,-0.0127491,0.00114519,0.0267042
1615139363.338801739,-2.24684,1.70384,-0.673897,0.0782923,0.018206,0.661707,0.745441,-0.0209202,0.0153537,0.00998039,0.00471187,-0.00234353,0.00927743
1615139363.343709741,-2.24707,1.70376,-0.673951,0.0782913,0.0181946,0.661795,0.745363,-0.0217616,0.0152949,0.00893953,-0.00488583,-0.00408747,0.015399
1615139363.348540291,-2.24675,1.70352,-0.673667,0.0782827,0.0181717,0.661861,0.745307,-0.0216647,0.0131504,0.00844669,-0.00837844,-0.00321442,0.0284917
1615139363.353562002,-2.24705,1.70344,-0.673649,0.07827,0.0181469,0.661889,0.745283,-0.0212961,0.0152326,0.00742595,-0.00924973,-0.00234199,0.0197629
1615139363.358423175,-2.2457,1.70299,-0.675207,0.0782914,0.0181996,0.661887,0.745282,-0.0197601,0.0125839,0.00843946,0.0064836,0.00900894,0.014519
1615139363.363285991,-2.24564,1.70292,-0.675218,0.0783001,0.01821,0.66188,0.745286,-0.0203612,0.0145457,0.0067369,0.00648439,0.00202706,0.0066605
1615139363.368218298,-2.24572,1.70289,-0.675265,0.078342,0.0182107,0.661907,0.745258,-0.0217784,0.0118075,0.00390365,0.0134642,-0.0101902,0.0145166
1615139363.373120225,-2.24576,1.70265,-0.675112,0.0783661,0.0182177,0.661973,0.745197,-0.0211721,0.0117359,0.00531439,0.0091011,-0.00408067,0.0197593
1615139363.378046685,-2.24563,1.70255,-0.674952,0.0783608,0.0182296,0.662033,0.745144,-0.0210858,0.0153769,0.00662581,0.000379228,0.00377458,0.00580677
1615139363.382952649,-2.24584,1.70258,-0.675126,0.0783453,0.0182285,0.662135,0.745055,-0.0217157,0.0117083,0.00642539,-0.00573112,0.00377598,0.0250176
1615139363.387840088,-2.24581,1.70214,-0.674673,0.0783444,0.0182463,0.662218,0.744981,-0.0211081,0.0111451,0.00671489,0.0038712,0.0055225,0.019795
1615139363.392761269,-2.24592,1.70218,-0.674832,0.0783532,0.0182569,0.662249,0.744952,-0.0211278,0.0128016,0.00572506,0.00561902,0.00115952,0.010199
1615139363.397689213,-2.24591,1.70206,-0.674722,0.0783322,0.0182394,0.662247,0.744957,-0.020638,0.0120121,0.0060726,-0.00921927,0.00290373,0.0171688
