Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615140523.110128236,-64.8299,-38.896,-2.516,-0.0700437,0.0747822,0.192604,-0.975913,-0.000577824,0.00478351,0.0030029,0.0109452,0.00660996,0.000553278
1615140523.115098484,-64.8297,-38.8959,-2.51608,-0.0700748,0.0747668,0.192647,-0.975903,0.000358809,0.00552791,0.00375159,0.0118179,0.0100987,-0.00294446
1615140523.119956948,-64.8299,-38.8959,-2.51608,-0.0701166,0.0747453,0.192705,-0.97589,0.00070556,0.00774591,0.00446667,0.0153097,0.0127149,-0.0116769
1615140523.124861811,-64.8298,-38.8958,-2.51615,-0.0701341,0.0747571,0.192698,-0.975889,-0.00119448,0.00297322,0.0018468,0.00919581,-0.00124888,0.0118796
1615140523.129785121,-64.8301,-38.8958,-2.51612,-0.0701513,0.0747566,0.192714,-0.975885,-0.000855833,0.00654983,0.00225784,0.00658128,0.00136888,-0.00557504
1615140523.134710691,-64.83,-38.8958,-2.51615,-0.0701951,0.0747828,0.192723,-0.975878,-0.00156482,0.00596311,0.000196865,0.0187995,-0.00822985,-0.00906114
1615140523.139612530,-64.8296,-38.8956,-2.5163,-0.0702123,0.0748033,0.192687,-0.975882,-0.00115439,0.00364334,0.000418227,0.00832499,-0.00735604,0.00577614
1615140523.144465657,-64.83,-38.8958,-2.51611,-0.0702154,0.0748077,0.192637,-0.975892,-0.000648288,0.00324381,0.0017162,0.00134376,-0.00211858,0.00839816
1615140523.149396240,-64.8298,-38.8956,-2.5163,-0.0702351,0.0748202,0.192629,-0.975891,-0.000929273,0.00626439,0.00113044,0.00745681,-0.0056077,-0.0099207
1615140523.154291244,-64.8296,-38.8958,-2.516,-0.0702396,0.074825,0.192592,-0.975897,-0.000673037,0.00442027,0.00171243,0.00134678,-0.00298804,0.00055652
1615140523.159203199,-64.8299,-38.8958,-2.51592,-0.0702165,0.0748727,0.192536,-0.975907,-0.00255958,0.00247904,-0.00199012,-0.00563614,-0.0213125,0.0119057
1615140523.164082330,-64.8299,-38.8959,-2.51586,-0.0702328,0.0748957,0.192488,-0.975913,-0.00143365,0.000884198,0.000924712,0.00832756,-0.00822138,0.00929523
1615140523.168942676,-64.8297,-38.8958,-2.51591,-0.0702144,0.0749119,0.192442,-0.975922,-0.000907392,0.000957747,0.00195141,-0.00563586,-0.0073481,0.0145309
1615140523.173891899,-64.8296,-38.8957,-2.51616,-0.0702047,0.0749154,0.192423,-0.975926,0.000129668,0.00139317,0.00341646,-0.00301684,-0.00123955,0.00929506
1615140523.178790397,-64.8296,-38.8959,-2.51574,-0.0701817,0.0749192,0.192435,-0.975925,0.000442881,0.00327707,0.00373756,-0.00825215,-0.00211311,0.00405434
1615140523.183631735,-64.8298,-38.8959,-2.51566,-0.0701395,0.0749165,0.19249,-0.975918,0.000279039,0.00631209,0.00395847,-0.0169773,-0.00124209,-0.00642604
1615140523.188593790,-64.83,-38.8958,-2.51649,-0.070082,0.074923,0.192549,-0.97591,-0.000285482,0.00552752,0.00343086,-0.0135021,-0.00299253,-0.00294167
1615140523.193517844,-64.83,-38.8955,-2.51681,-0.0700432,0.0749517,0.192608,-0.975899,-0.00124187,0.00448186,0.00190759,-0.0117589,-0.011722,0.0022835
1615140523.198394219,-64.8301,-38.8956,-2.51656,-0.0700182,0.0749777,0.192637,-0.975893,-0.000931009,0.0011359,0.00280552,-0.00565413,-0.00823451,0.0162354
1615140523.203268485,-64.8301,-38.8954,-2.51684,-0.0700145,0.0750189,0.192691,-0.975879,-0.00167733,0.003321,0.0019762,0.00307461,-0.0143459,0.00139175
1615140523.208165928,-64.83,-38.8955,-2.51661,-0.0699802,0.0750363,0.192727,-0.975873,-0.000977851,0.00545925,0.00364354,-0.0117609,-0.00823889,-0.000362438
1615140523.213106962,-64.83,-38.8958,-2.51627,-0.0699788,0.0750449,0.192718,-0.975875,-0.00066343,0.0035139,0.00441259,0.00045532,-0.00300299,0.00487573
1615140523.218027176,-64.8302,-38.8955,-2.51671,-0.0699759,0.0750387,0.192687,-0.975881,-0.000288198,0.00427119,0.00551655,-0.00216162,0.00136166,0.00226187
1615140523.222896169,-64.83,-38.8955,-2.51652,-0.0699385,0.0750262,0.192634,-0.975895,-0.000269507,0.00469038,0.00553758,-0.0169965,0.000491248,0.00488502
1615140523.227847144,-64.83,-38.8955,-2.51647,-0.0699379,0.0750116,0.192592,-0.975905,7.82285e-05,0.00507366,0.00639022,-0.00303073,0.00311187,-0.00470168
1615140523.232757361,-64.8303,-38.8956,-2.51635,-0.069911,0.0750335,0.192524,-0.975918,-0.0013939,0.00264997,0.00324128,-0.0100134,-0.0125935,0.00752405
1615140523.237640080,-64.83,-38.8957,-2.51617,-0.069915,0.0750603,0.192456,-0.97593,-0.00120205,0.000560876,0.00292361,0.0030773,-0.0117186,0.00928077
1615140523.242554011,-64.8305,-38.8956,-2.51632,-0.0699146,0.0750743,0.1924,-0.97594,-0.000896998,0.000633353,0.00373057,0.000460284,-0.00648085,0.00841446
1615140523.247428299,-64.8304,-38.8955,-2.51646,-0.0698805,0.0750895,0.192353,-0.97595,-0.00155095,0.00122526,0.00337685,-0.0126295,-0.00909759,0.010162
1615140523.252297458,-64.83,-38.8956,-2.51632,-0.0698607,0.0750969,0.192253,-0.975971,-0.0010067,-0.00510391,0.00501049,-0.00565319,-0.0021156,0.0363461
1615140523.257255524,-64.8302,-38.8957,-2.51616,-0.0698163,0.0751054,0.192217,-0.97598,-0.00166327,-0.000124779,0.0039822,-0.0161209,-0.00560615,0.0154004
1615140523.262188031,-64.8301,-38.8955,-2.51642,-0.0697563,0.0751243,0.19223,-0.975981,-0.00241268,0.00341506,0.00271064,-0.0222268,-0.0117152,0.00143482
1615140523.267119338,-64.8303,-38.8957,-2.51613,-0.0696942,0.0751545,0.192229,-0.975983,-0.00267846,0.00124205,0.00197712,-0.0213565,-0.0152068,0.0110308
1615140523.273439442,-64.8303,-38.8955,-2.51632,-0.06962,0.0751945,0.192233,-0.975984,-0.00239476,0.000990597,0.00198508,-0.0196115,-0.0152081,0.0101534
1615140523.276904591,-64.8304,-38.8956,-2.51623,-0.0695815,0.0752086,0.192276,-0.975978,-0.00217699,0.00388971,0.0028055,-0.0196091,-0.0108462,-0.00468752
1615140523.281808880,-64.8304,-38.8955,-2.51625,-0.0695289,0.0752435,0.192329,-0.975968,-0.00323276,0.00383933,0.00135317,-0.0178644,-0.0169566,-0.00469377
1615140523.286649175,-64.8305,-38.8955,-2.51619,-0.0694585,0.0752527,0.192377,-0.975963,-0.00276628,0.00476717,0.00339793,-0.0274644,-0.00823157,-0.003829
1615140523.291616991,-64.8303,-38.8956,-2.51607,-0.0694186,0.0752881,0.192418,-0.975955,-0.00335946,0.00271713,0.00170089,-0.0126298,-0.016087,-0.00295848
1615140523.296538754,-64.8304,-38.8955,-2.51613,-0.069399,0.0753112,0.192435,-0.975951,-0.00284067,0.00124371,0.00298816,-0.00564951,-0.00997915,0.00053065
