Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615140523.192137956,1.95143,5.435,19.7022,-1.29806,1.05317,0.0276308
1615140523.193509101,1.83293,6.00232,19.7151,-0.775103,1.01075,-0.715154
1615140523.194546937,1.72157,6.11395,19.3116,-0.426508,0.74954,-0.847326
1615140523.236423969,1.43252,6.10115,18.7078,0.0515336,0.756767,-0.634903
1615140523.237956047,1.47834,5.3448,18.6249,0.489051,0.712742,-0.109606
1615140523.239420890,1.63918,5.54702,18.9956,0.316799,0.800263,-0.282471
1615140523.284456968,2.25439,6.61313,19.2628,0.712832,1.42708,-0.988137
1615140523.286032915,2.18786,6.6695,19.3283,0.626738,1.42939,-0.944209
1615140523.287458896,2.13545,5.94747,19.0934,0.627568,1.21175,-0.201223
1615140523.328273057,2.27088,6.51559,18.5426,-0.503259,0.825066,-0.417459
1615140523.329694032,2.17523,6.35462,18.1811,-0.372638,0.562992,-0.287325
1615140523.330642938,2.21148,7.20502,18.39,-0.241958,0.738143,-1.07426
1615140523.368568897,2.35651,7.07424,18.7052,-0.635458,1.13224,-0.682949
1615140523.370022058,2.38669,6.64873,18.553,-0.286675,1.13333,-0.334513
1615140523.412457942,2.2798,6.62798,19.3077,-0.238324,1.00137,-0.550413
1615140523.414093017,2.45159,6.04213,19.6104,-0.368812,1.13288,0.0625047
1615140523.415644884,2.19928,6.34614,18.9976,-0.848557,0.608816,-0.0225643
1615140523.460445880,2.10277,7.54142,18.5811,0.0659927,-0.00869151,-1.42682
1615140523.461954116,2.14091,6.71664,18.67,0.284903,-0.097834,-0.684301
1615140523.463396072,2.4545,6.38602,19.2269,0.460576,0.468543,-0.37747
1615140523.508682966,2.15303,6.89131,18.4928,-0.626288,-0.235925,-0.41159
1615140523.510287046,2.5359,6.74465,19.2223,-0.626469,0.461709,-0.280383
1615140523.511851072,2.4419,6.42651,18.718,-0.10262,0.242364,-0.193036
1615140523.544553995,2.43525,6.59188,18.676,-0.80132,0.110073,0.0244968
1615140523.545984029,2.31107,7.60655,18.4908,-0.539912,-0.0656278,-1.02432
1615140523.588260889,2.03824,5.8898,18.5576,0.333075,0.237038,-0.0210227
1615140523.589755058,2.09439,6.61418,18.3898,-0.146411,0.27981,-0.631579
1615140523.590843915,2.0299,6.38564,18.1198,-0.495317,0.103859,-0.281549
1615140523.632294893,2.54375,5.73331,19.3445,-0.317687,1.05709,0.165482
1615140523.633641004,2.18163,5.85209,18.4911,-0.405111,0.357978,0.208709
1615140523.634665012,2.0635,6.09373,18.6857,0.380788,0.444657,-0.403023
1615140523.680385112,1.36935,5.81684,18.5625,0.0354854,0.395528,-0.533285
1615140523.681901931,1.18426,5.64978,18.3746,-0.269604,0.307333,-0.314222
1615140523.683146953,1.26744,5.67344,18.2533,-0.0507716,0.306418,-0.443941
1615140523.724381923,1.23546,5.7936,18.351,-0.618471,0.657992,-0.750119
1615140523.725858926,1.44352,5.41417,18.8015,-0.662839,1.18303,-0.445691
1615140523.727595090,1.13197,4.84268,18.4594,-0.575913,0.746757,0.0342812
1615140523.768332958,1.01382,4.80535,19.2945,-0.879768,1.10246,0.128638
1615140523.769901990,0.790138,5.10203,18.9252,-0.925647,0.621734,0.128225
1615140523.771403074,0.99334,5.08452,19.5035,-0.751803,0.97146,0.0837578
1615140523.812705993,0.979115,5.80896,18.9879,-1.14848,0.713482,-0.486609
1615140523.814095020,1.13218,5.51029,19.3325,-1.10548,1.10725,-0.180491
1615140523.815160989,1.05429,5.61766,19.0331,-1.41221,0.890053,-0.135968
1615140523.820478916,1.10699,5.5825,19.1611,-0.582919,1.02133,-0.483799
1615140523.821815013,1.04426,5.09774,19.0949,-0.539192,0.890739,-0.0461084
1615140523.864072084,1.32429,4.94607,19.3831,-0.498245,1.02616,-0.0473455
1615140523.864705085,1.2759,5.55555,19.1536,-0.673347,0.983522,-0.528385
1615140523.865174055,1.63374,5.6064,19.8668,-1.02355,1.64065,-0.48598
1615140523.907994031,1.70246,5.55102,19.9776,-0.284157,1.298,-0.664465
1615140523.908663034,1.72089,5.56673,19.6708,0.0653164,1.03715,-0.838828
1615140523.909147024,1.39638,6.17316,18.7626,-0.19617,0.207456,-1.27515
1615140523.952066898,1.86677,5.45424,19.1344,-0.280162,0.772847,-0.655467
1615140523.952687978,1.66062,5.74448,18.2554,-0.105248,0.161047,-0.960756
1615140523.953069925,1.80261,5.20803,18.5475,-0.14877,0.42223,-0.437162
1615140523.996079921,1.70525,5.32484,18.2024,-0.192464,0.0252335,-0.619994
1615140523.996589899,2.14724,4.61458,18.9831,-0.236217,0.723216,0.0779009
1615140523.996988058,2.21432,4.53656,18.9941,0.15695,0.679233,0.0343395
1615140524.40083885,1.99172,5.23941,18.3134,-0.846055,0.0171781,-0.310389
1615140524.40587902,1.51518,5.99729,18.9613,-0.846846,0.315514,-0.788146
1615140524.41043996,1.38969,4.56304,18.7352,0.157548,0.139257,0.0862928
1615140524.84099054,1.25929,5.25873,18.7231,-0.537075,-0.0451524,-0.171929
1615140524.84635019,1.29775,4.09643,18.9165,0.117888,0.0400715,0.570379
1615140524.85182905,1.53449,4.64365,19.1114,0.162117,0.431906,0.0467713
1615140524.127989053,1.49834,5.41181,18.4014,-0.753283,0.467647,-0.207442
1615140524.128596067,1.37865,5.17784,18.0203,0.16378,0.204698,-0.424776
1615140524.129038095,1.58955,4.91241,18.4316,0.164303,0.64079,-0.206277
1615140524.172136068,1.43792,4.85437,17.6639,-0.227783,0.375204,0.100367
1615140524.172857046,1.6037,5.54471,17.9588,-0.314964,0.680812,-0.467017
1615140524.173348903,1.62838,4.94146,18.1668,-0.140197,0.724352,0.0135188
1615140524.188116073,1.53607,5.23212,17.899,-0.0524448,0.418304,-0.335117
1615140524.188745975,1.47244,4.72605,17.4891,0.210132,0.242435,0.0586572
1615140524.232017993,1.61986,4.96188,18.0412,-0.180119,0.719781,0.105583
1615140524.232569932,1.68871,4.91906,18.046,0.169558,0.850802,0.0189055
1615140524.232945919,1.93089,5.01744,18.3302,-0.179459,1.33206,0.0624865
1615140524.280114889,1.61124,5.60979,17.5484,-0.179247,1.03395,-0.551844
1615140524.280816078,1.52947,4.84329,18.4725,0.347725,1.07516,0.0182806
1615140524.281306982,1.60182,5.86895,18.5811,0.260647,1.20607,-0.898038
1615140524.324147939,1.74477,6.30636,18.5034,0.00154991,1.20815,-1.15818
1615140524.324795007,1.81301,5.89465,18.5721,0.307169,1.1659,-0.897211
1615140524.325253009,1.92152,5.6752,18.5493,0.00165178,1.12344,-0.549036
1615140524.368058919,2.32305,5.86263,18.5283,0.0912372,1.12789,-0.900292
1615140524.368762969,2.33023,6.0724,18.4612,-0.257761,1.21677,-0.943747
1615140524.369220018,2.24603,6.42198,18.3797,-0.170358,1.13106,-1.29282
1615140524.416207075,2.18955,6.53262,18.8479,0.0494,1.09298,-1.29518
1615140524.416830062,1.88967,6.22638,18.0861,-0.125262,0.394582,-0.903385
1615140524.417274951,1.82729,5.80595,17.9707,-0.037939,0.306655,-0.642206
1615140524.417905092,1.90003,5.95623,18.0585,-0.299896,0.306047,-0.599326
1615140524.418376922,2.57215,5.05276,19.5209,0.400905,1.13449,-0.16461
1615140524.418767929,2.43178,6.19696,19.2183,-0.253456,0.742316,-0.950377
1615140524.419116973,2.41399,5.70721,18.9693,0.0960473,0.52383,-0.600851
1615140524.460092067,2.30354,5.51097,18.6225,-0.383774,0.348449,-0.207398
1615140524.460685014,2.30208,5.4076,18.6688,-0.601891,0.260081,-0.031879
1615140524.504525899,1.98988,4.85911,17.8095,-0.206362,-0.229251,0.496205
1615140524.507034063,2.08391,5.26576,17.8635,-0.162393,-0.231548,0.103573
1615140524.510380029,2.27456,5.31541,17.9951,-0.162207,0.0285082,0.190818
1615140524.548095941,1.70884,5.73557,18.338,-0.596344,0.0986204,0.282417
1615140524.548939943,1.71699,6.26537,18.5524,-0.814671,0.0973683,-0.0661456
1615140524.549488067,1.61455,5.66025,18.2694,-0.246933,-0.210439,0.284473
1615140524.592055082,1.99523,5.79606,18.1535,-1.07223,0.299457,0.692176
1615140524.592724084,1.9694,5.43466,17.9962,-0.679556,0.167009,0.780429
1615140524.593342065,1.98117,5.72417,17.9751,-0.810758,0.121975,0.518723
1615140524.636359930,1.64581,6.24127,17.6881,-0.855895,0.332309,-0.179507
1615140524.637154102,1.67671,5.26001,17.9333,-0.506628,0.462374,0.520385
1615140524.637645959,1.68111,5.92285,18.0555,-0.549938,0.593119,-0.132759
1615140524.680052995,1.1822,6.22428,17.9401,-0.856163,0.413529,-0.655574
1615140524.680742025,1.50856,6.12318,18.6371,-0.682581,1.15728,-0.657045
1615140524.681286096,1.41369,6.23391,18.5528,-1.38184,1.20229,-0.439959
1615140524.724910020,1.46457,6.20558,18.3959,0.0149704,0.899607,-1.00629
