Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW,LinX,LinY,LinZ,AngX,AngY,AngZ
1615140455.261601413,-64.7652,-38.8066,-2.42692,0.0537277,0.0539016,0.969612,0.232507,-0.00252038,0.00238855,0.00164603,-0.00428206,-0.00142796,-0.00312219
1615140455.266513506,-64.7655,-38.8064,-2.42726,0.0537421,0.0538942,0.969611,0.232511,-0.00281821,0.00232459,0.000239,-0.00166419,-0.00666393,-0.00224839
1615140455.271429657,-64.7652,-38.8065,-2.42713,0.0537434,0.0539168,0.969611,0.232507,-0.00210544,0.00150643,0.00159161,0.00880814,0.0011901,-0.00311713
1615140455.276452468,-64.7655,-38.8067,-2.42681,0.0537265,0.0539401,0.969614,0.23249,-0.00099068,0.00222328,0.00294829,0.007063,0.00817152,-0.00224087
1615140455.281214534,-64.7652,-38.8066,-2.42692,0.0536953,0.0539621,0.969625,0.23245,-0.000141439,0.00159664,0.00397143,0.00531777,0.0142803,0.000383747
1615140455.287863378,-64.7651,-38.8067,-2.42663,0.053663,0.0540184,0.969639,0.232383,-0.000337132,0.000174271,0.0035916,0.0140437,0.0134077,0.00737434
1615140455.290977568,-64.765,-38.8066,-2.42676,0.0536773,0.0540484,0.96965,0.23233,-0.00217295,-0.000295452,-0.00049709,0.0201529,-0.00491827,0.00825567
1615140455.295860747,-64.7652,-38.8065,-2.42697,0.0536834,0.0540935,0.969663,0.232262,-0.00106499,-0.000963115,0.00070512,0.0184075,0.00206299,0.0117531
1615140455.300727632,-64.7654,-38.8064,-2.427,0.0536666,0.0541065,0.969671,0.232229,-6.09746e-05,0.00140036,0.00207416,0.0035736,0.00817159,0.00651727
1615140455.305649522,-64.7652,-38.8065,-2.42686,0.0536343,0.0541294,0.969674,0.232218,0.000892483,0.00141912,0.00438733,0.00619211,0.0151529,0.00389971
1615140455.310479863,-64.7651,-38.8066,-2.4268,0.0536246,0.0541241,0.969672,0.232229,-0.000963457,0.00286591,0.00250553,-0.00253477,0.00380833,0.00302171
1615140455.315360885,-64.765,-38.8065,-2.42694,0.0536203,0.0541374,0.969661,0.232274,-0.00161235,0.00447469,0.00233177,0.00532048,0.00293572,-0.00658173
1615140455.320301193,-64.7653,-38.8063,-2.42727,0.0536092,0.0541509,0.969655,0.2323,-0.00111709,0.00260687,0.00229795,0.00531726,0.00642644,0.0047554
1615140455.325218398,-64.7654,-38.8065,-2.42708,0.0536115,0.0541739,0.969642,0.232346,-0.00141942,0.00384405,0.00104655,0.00968243,0.00119044,-0.00746659
1615140455.330115983,-64.7647,-38.806,-2.4268,0.053631,0.0542426,0.969633,0.232366,-0.000717697,-0.000937945,0.00249735,0.00883909,0.00467396,0.00735919
1615140455.335018312,-64.7646,-38.8059,-2.42697,0.0536421,0.0542581,0.969624,0.232394,-0.00150582,-0.000308673,0.00137071,0.00796701,-0.00230749,0.00124424
1615140455.339938369,-64.7647,-38.806,-2.42677,0.0536253,0.0542813,0.969618,0.232419,-9.52309e-05,0.000472599,0.00365352,0.00796729,0.00903703,-0.00225055
1615140455.344817808,-64.7645,-38.806,-2.42681,0.0536018,0.0542697,0.969615,0.232438,-0.000411955,0.00223909,0.00385902,-0.00686784,0.00816431,-0.00400075
1615140455.349723341,-64.7643,-38.806,-2.42675,0.0536017,0.0542781,0.969619,0.232422,-0.00148486,-0.000698582,0.00254459,0.00360201,0.001183,0.00647347
1615140455.354596212,-64.7645,-38.806,-2.42667,0.0536074,0.0543151,0.969629,0.23237,-0.00159747,-0.00315577,0.00273344,0.0158176,0.00205573,0.0160775
1615140455.359543511,-64.7646,-38.8059,-2.42689,0.0536058,0.0543519,0.969636,0.232331,-0.00119956,-0.000511807,0.00282141,0.0140752,0.00380123,0.00386505
1615140455.364466714,-64.7647,-38.806,-2.42659,0.0535774,0.0543925,0.969653,0.232257,0.00038955,-0.00176421,0.00510854,0.0132014,0.0151461,0.0125992
1615140455.369338849,-64.7644,-38.8061,-2.42643,0.0535562,0.0543976,0.969667,0.232204,-0.000430603,0.00146311,0.00401632,-0.000758056,0.00816493,0.00126104
1615140455.374266837,-64.7644,-38.8059,-2.42664,0.0535598,0.0543855,0.969683,0.232138,-0.000854129,0.00100915,0.00229933,-0.00512137,-0.00317956,0.00563377
1615140455.379186246,-64.7644,-38.8059,-2.42654,0.0535367,0.0544009,0.969707,0.232039,0.00116382,-0.00226601,0.00544023,0.00360392,0.0107831,0.0169911
1615140455.384110912,-64.7645,-38.8058,-2.42669,0.0535357,0.0544114,0.969724,0.231969,0.00056657,-0.000732826,0.00311717,0.00360635,0.00118386,0.0091462
1615140455.389025021,-64.7643,-38.8058,-2.42658,0.0535398,0.0544075,0.969735,0.23192,-0.000196675,0.00107614,0.00274689,-0.00162806,-0.00230679,0.00478913
1615140455.394914164,-64.7647,-38.8057,-2.42671,0.0535526,0.0544046,0.96975,0.231854,-0.00101634,-0.00150782,0.00318468,0.000116238,-0.00405214,0.0126493
1615140455.398871604,-64.7647,-38.8058,-2.42647,0.0535699,0.0543831,0.969755,0.231835,-0.00180474,0.00120408,0.00175352,-0.00860857,-0.0110335,0.00479587
1615140455.403767178,-64.7646,-38.8058,-2.42658,0.053573,0.0543862,0.969756,0.231831,-0.000952571,-0.0004766,0.00398583,0.00186325,-0.000561494,0.00479655
1615140455.408669198,-64.7646,-38.8058,-2.42656,0.053584,0.0544002,0.96976,0.231808,-0.000576287,-0.00389871,0.00349935,0.00796834,-0.00143416,0.0196283
