Time,ForceX,ForceY,ForceZ,TorqueX,TorqueY,TorqueZ
1615140455.347978115,1.21893,-2.9413,17.7994,-2.19063,2.76393,0.0583538
1615140455.348588943,0.990052,-2.94782,17.1773,-2.32181,2.41166,0.18891
1615140455.349086999,1.45836,-3.30896,17.6243,-1.88503,2.97792,0.23304
1615140455.392247915,1.24887,-2.67539,17.3051,-2.41886,2.72005,0.502038
1615140455.393724918,1.33452,-3.11257,17.2591,-1.67606,2.76127,0.589898
1615140455.395037889,1.61418,-2.37325,17.561,-2.19987,3.11027,0.0658019
1615140455.396384000,1.63142,-1.76581,17.5013,-2.81229,3.06719,-0.415547
1615140455.397551059,1.52667,-2.41969,17.5429,-2.72671,2.97983,0.194225
1615140455.440223932,1.08035,-2.36001,17.4099,-2.20241,3.10091,-0.078981
1615140455.441056966,1.27996,-2.81092,17.4621,-1.94033,3.27539,0.137642
1615140455.441853046,1.46584,-2.16726,17.4042,-2.02735,3.36339,-0.256983
1615140455.488822937,1.85115,-1.83259,17.3791,-2.20272,3.95421,-0.25776
1615140455.491597890,1.48919,-2.27373,16.8818,-2.641,3.56408,0.483103
1615140455.494671106,1.35467,-2.33134,16.7023,-1.81138,3.5213,0.0892143
1615140455.533344984,1.09891,-2.35026,16.562,-1.9461,3.18382,0.0869174
1615140455.538249015,1.35112,-2.24939,16.784,-2.42728,3.49158,0.174873
1615140455.540401935,1.69292,-1.8074,17.108,-2.5597,3.80099,-0.261276
1615140455.572452068,1.61068,-2.76295,16.3916,-1.59732,3.05652,0.0880401
1615140455.573510885,1.83672,-2.64933,16.8818,-1.90276,3.49288,0.131606
1615140455.616252899,1.76628,-2.72664,17.0454,-1.85907,3.41045,0.345996
1615140455.617846012,1.6578,-2.50823,16.6573,-1.37707,3.05891,0.125639
1615140455.619045019,1.6105,-2.15887,16.349,-2.03111,2.88219,0.0360189
1615140455.660509109,1.74985,-2.08883,17.7338,-1.80689,4.01847,-0.445357
1615140455.661751031,1.59264,-3.2254,17.552,-0.975775,3.80177,0.341244
1615140455.663080930,1.61959,-2.68821,17.3647,-1.76069,3.6291,0.0797919
1615140455.704559087,1.78094,-2.97585,16.9253,-1.40054,3.13896,-0.190084
1615140455.706146001,1.75097,-1.86714,17.1221,-2.44834,3.1389,-0.672713
1615140455.707861900,1.80397,-2.0718,17.0026,-1.96781,3.13807,-0.762254
1615140455.748507022,2.13795,-1.80626,16.909,-1.78606,2.82837,-1.03211
1615140455.750482082,2.26862,-2.44498,17.0833,-2.22293,3.13393,-0.247025
1615140455.752032995,2.47794,-2.34667,17.4085,-1.82964,3.39649,-0.509169
1615140455.792357921,2.12123,-2.15522,17.4433,-1.57027,2.99845,-0.385145
1615140455.793740034,1.91703,-2.53557,16.643,-1.91858,2.42679,0.179921
1615140455.794650077,2.00346,-2.68093,16.8886,-1.52404,2.55324,0.046691
1615140455.836272954,2.29724,-1.41367,17.53,-1.90704,3.01444,-1.01244
1615140455.837479114,2.31181,-2.82951,17.5462,-1.90677,2.83826,0.034716
1615140455.838443994,2.46175,-2.22409,17.7687,-1.5562,3.05512,-0.533389
